日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,17°,0°,雾~多云,东风2级,116 轻度
2024-11-02 周六,16°,3°,雾~多云,东风1级,137 轻度
2024-11-03 周日,14°,-2°,多云~晴,西北风4级,38 优
2024-11-04 周一,13°,-2°,多云~晴,东风1级,54 良
2024-11-05 周二,13°,1°,雾~多云,东风1级,59 良
2024-11-06 周三,15°,0°,小雨~晴,东风1级,72 良
2024-11-07 周四,16°,1°,雾,东南风1级,83 良
2024-11-08 周五,14°,2°,雾~多云,东南风1级,160 中度
2024-11-09 周六,15°,0°,雾~晴,西北风2级,94 良
2024-11-10 周日,15°,2°,雾~多云,南风1级,71 良
2024-11-11 周一,15°,0°,阴~多云,西北风1级,49 优
2024-11-12 周二,13°,1°,雾~小雨,东南风1级,48 优
2024-11-13 周三,12°,0°,雾~多云,东南风1级,76 良
2024-11-14 周四,11°,0°,雾~多云,东南风1级,104 轻度
2024-11-15 周五,10°,-3°,多云,西北风3级,63 良
2024-11-16 周六,9°,-8°,晴~多云,西北风2级,38 优
2024-11-17 周日,8°,-3°,晴~阴,东风1级,46 优
2024-11-18 周一,5°,-4°,多云~阴,南风2级,44 优
2024-11-19 周二,7°,-5°,雾~晴,西南风1级,76 良
2024-11-20 周三,5°,-6°,雾~晴,南风1级,151 中度
2024-11-21 周四,8°,-7°,雾,东南风1级,118 轻度
2024-11-22 周五,9°,-3°,雾,东北风1级,59 良
2024-11-23 周六,9°,-1°,雾~小雪,东南风1级,92 良
2024-11-24 周日,3°,-6°,阴,西北风4级,47 优
2024-11-25 周一,-1°,-9°,阴~晴,西北风5级,38 优
2024-11-26 周二,0°,-9°,多云~晴,西北风5级,93 良
2024-11-27 周三,4°,-7°,晴,西北风4级,53 良
2024-11-28 周四,7°,-4°,晴,西风2级,35 优
2024-11-29 周五,9°,-5°,晴~多云,西风1级,46 优
2024-11-30 周六,7°,-6°,多云~晴,西南风1级,53 良
