日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,8°,-3°,晴,西南风1级,-
2023-12-02 周六,13°,-2°,阴~晴,西北风1级,-
2023-12-03 周日,9°,-1°,晴,东南风2级,-
2023-12-04 周一,10°,-2°,多云~晴,东北风1级,-
2023-12-05 周二,11°,4°,多云~晴,东北风1级,-
2023-12-06 周三,14°,3°,多云~晴,西风3级,-
2023-12-07 周四,14°,5°,多云~晴,西北风1级,-
2023-12-08 周五,24°,4°,多云~晴,西风2级,-
2023-12-09 周六,9°,-1°,多云~阴,东北风2级,-
2023-12-10 周日,1°,-4°,阴~中雪,东北风2级,-
2023-12-11 周一,-1°,-5°,阴~晴,东北风1级,-
2023-12-12 周二,-1°,-3°,多云~小雪,东南风1级,-
2023-12-13 周三,-1°,-3°,中雪,东北风2级,-
2023-12-14 周四,-2°,-8°,大雪~小雪,北风2级,-
2023-12-15 周五,-2°,-12°,多云~晴,西北风1级,-
2023-12-16 周六,-6°,-15°,晴,西北风2级,-
2023-12-17 周日,-4°,-12°,阴~多云,东南风1级,-
2023-12-18 周一,-5°,-9°,多云~晴,东南风1级,-
2023-12-19 周二,-2°,-11°,多云~晴,东北风2级,-
2023-12-20 周三,-4°,-14°,晴,西北风1级,-
2023-12-21 周四,-3°,-12°,晴,西北风2级,-
2023-12-22 周五,0°,-10°,多云,南风1级,-
2023-12-23 周六,0°,-10°,晴,西北风1级,-
2023-12-24 周日,2°,-6°,晴,西南风2级,-
2023-12-25 周一,3°,-5°,晴,东南风1级,-
2023-12-26 周二,4°,-6°,多云~晴,西北风2级,-
2023-12-27 周三,2°,-6°,阴~晴,东北风1级,-
2023-12-28 周四,4°,-4°,多云,南风1级,-
2023-12-29 周五,1°,-4°,多云,东南风1级,-
2023-12-30 周六,0°,-3°,多云~晴,西北风1级,-
2023-12-31 周日,4°,-4°,晴~多云,北风1级,57 良
