日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,30°,17°,多云,东北风2级,36 优
2024-09-02 周一,24°,13°,阴~小雨,北风3级,46 优
2024-09-03 周二,20°,9°,阴~晴,西风2级,23 优
2024-09-04 周三,25°,11°,雾~晴,东风3级,26 优
2024-09-05 周四,26°,12°,雾~晴,东北风2级,38 优
2024-09-06 周五,28°,15°,多云,东北风1级,43 优
2024-09-07 周六,18°,9°,中雨~小雨,西北风3级,32 优
2024-09-08 周日,22°,9°,晴,东风3级,22 优
2024-09-09 周一,23°,10°,雾~多云,东风3级,30 优
2024-09-10 周二,24°,10°,阴~多云,东北风2级,35 优
2024-09-11 周三,25°,13°,阴~小雨,西北风2级,36 优
2024-09-12 周四,25°,12°,阴~晴,南风1级,29 优
2024-09-13 周五,21°,11°,多云,西北风3级,29 优
2024-09-14 周六,16°,9°,阴~晴,东风2级,27 优
2024-09-15 周日,23°,9°,雾~多云,东风3级,30 优
2024-09-16 周一,24°,10°,晴,东风2级,38 优
2024-09-17 周二,25°,12°,晴~多云,北风2级,42 优
2024-09-18 周三,21°,7°,晴,东北风2级,43 优
2024-09-19 周四,23°,9°,晴,东风3级,35 优
2024-09-20 周五,25°,11°,晴,东北风2级,55 良
2024-09-21 周六,27°,13°,多云,东北风1级,57 良
2024-09-22 周日,29°,15°,阴~多云,东北风1级,62 良
2024-09-23 周一,28°,12°,阴~多云,东风2级,46 优
2024-09-24 周二,29°,14°,阴~多云,西北风1级,45 优
2024-09-25 周三,24°,13°,雾~中雨,东北风2级,38 优
2024-09-26 周四,14°,9°,小雨,东北风3级,29 优
2024-09-27 周五,9°,7°,小雨~多云,西北风3级,25 优
2024-09-28 周六,13°,3°,阴~晴,西北风2级,22 优
2024-09-29 周日,14°,1°,晴,东北风2级,25 优
2024-09-30 周一,16°,1°,雾~晴,东北风2级,35 优
