日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,22°,19°,中雨,东风1级,26 优
2024-06-02 周日,20°,19°,大雨~阴,东北风1级,29 优
2024-06-03 周一,24°,20°,阴~多云,东北风1级,26 优
2024-06-04 周二,26°,19°,阴~小雨,东北风1级,32 优
2024-06-05 周三,23°,17°,小雨,西北风1级,31 优
2024-06-06 周四,23°,21°,小雨~阴,东北风1级,27 优
2024-06-07 周五,28°,22°,阴,东北风1级,33 优
2024-06-08 周六,31°,23°,阴,东南风1级,36 优
2024-06-09 周日,31°,25°,小雨,东南风1级,34 优
2024-06-10 周一,29°,24°,雾~小雨,西南风1级,35 优
2024-06-11 周二,34°,26°,大雨~小雨,西南风1级,24 优
2024-06-12 周三,34°,26°,中雨,西南风1级,27 优
2024-06-13 周四,30°,26°,小雨~中雨,东南风1级,23 优
2024-06-14 周五,32°,26°,中雨~小雨,西南风1级,25 优
2024-06-15 周六,30°,25°,小雨~中雨,西南风1级,23 优
2024-06-16 周日,32°,25°,中雨,东南风2级,17 优
2024-06-17 周一,32°,25°,阴~小雨,西南风1级,23 优
2024-06-18 周二,25°,24°,小雨,东风1级,22 优
2024-06-19 周三,32°,25°,雾~阴,南风2级,26 优
2024-06-20 周四,35°,26°,雾~多云,西南风2级,26 优
2024-06-21 周五,36°,27°,阴~多云,南风2级,29 优
2024-06-22 周六,37°,27°,多云,西南风2级,36 优
2024-06-23 周日,36°,28°,阴,西南风2级,35 优
2024-06-24 周一,37°,27°,多云,西南风2级,24 优
2024-06-25 周二,36°,27°,阴~多云,南风2级,33 优
2024-06-26 周三,32°,27°,小雨~阴,东南风2级,32 优
2024-06-27 周四,36°,27°,阴~多云,西南风2级,30 优
2024-06-28 周五,35°,28°,阴,南风2级,24 优
2024-06-29 周六,33°,28°,小雨~阴,南风3级,19 优
2024-06-30 周日,35°,28°,阴~多云,西南风3级,22 优
