日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,18°,2°,阴~多云,西北风3级,29 优
2024-10-02 周三,19°,5°,晴,西北风2级,26 优
2024-10-03 周四,23°,7°,晴,西南风3级,43 优
2024-10-04 周五,23°,8°,多云~晴,西南风3级,62 良
2024-10-05 周六,24°,12°,多云,西南风3级,74 良
2024-10-06 周日,19°,6°,阴~多云,东北风2级,67 良
2024-10-07 周一,19°,4°,晴,北风2级,35 优
2024-10-08 周二,22°,8°,晴~多云,西南风2级,45 优
2024-10-09 周三,21°,8°,多云,西南风3级,61 良
2024-10-10 周四,19°,9°,晴,东北风2级,43 优
2024-10-11 周五,23°,7°,晴,西南风4级,65 良
2024-10-12 周六,19°,11°,晴~多云,东南风2级,66 良
2024-10-13 周日,21°,13°,雾~多云,东南风2级,59 良
2024-10-14 周一,21°,10°,雾~阵雨,西南风3级,70 良
2024-10-15 周二,17°,6°,晴~多云,东北风4级,69 良
2024-10-16 周三,18°,10°,阴,西南风3级,33 优
2024-10-17 周四,21°,14°,阴~小雨,南风2级,61 良
2024-10-18 周五,18°,0°,小雨~多云,东北风5级,40 优
2024-10-19 周六,11°,0°,多云~晴,东北风5级,29 优
2024-10-20 周日,11°,3°,阴~小雨,东北风1级,28 优
2024-10-21 周一,15°,5°,晴~小雨,西南风3级,46 优
2024-10-22 周二,12°,0°,小雨~晴,东北风3级,37 优
2024-10-23 周三,17°,3°,晴,西南风3级,50 优
2024-10-24 周四,21°,6°,多云~晴,东南风1级,101 轻度
2024-10-25 周五,20°,7°,多云,西南风3级,97 良
2024-10-26 周六,15°,7°,雾~阴,东风2级,116 轻度
2024-10-27 周日,14°,2°,阴~晴,东北风3级,68 良
2024-10-28 周一,16°,5°,雾~晴,东南风1级,71 良
2024-10-29 周二,19°,6°,雾~晴,西南风3级,102 轻度
2024-10-30 周三,17°,8°,雾~阴,东南风2级,48 优
2024-10-31 周四,20°,9°,多云~阴,西南风3级,87 良
