日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,19°,15°,暴雨~小雨,西北风4级,23 优
2024-11-02 周六,22°,13°,阴~晴,西北风2级,33 优
2024-11-03 周日,23°,13°,晴~多云,东北风1级,68 良
2024-11-04 周一,21°,15°,阴~晴,北风2级,70 良
2024-11-05 周二,20°,9°,阴~晴,北风3级,36 优
2024-11-06 周三,18°,11°,多云~晴,东北风2级,40 优
2024-11-07 周四,18°,11°,阴~多云,东北风2级,38 优
2024-11-08 周五,20°,16°,阴~多云,东北风2级,44 优
2024-11-09 周六,22°,16°,阴~小雨,东北风2级,45 优
2024-11-10 周日,18°,13°,小雨~晴,北风1级,46 优
2024-11-11 周一,21°,14°,阴~多云,东北风2级,52 良
2024-11-12 周二,22°,13°,多云~晴,东北风2级,50 优
2024-11-13 周三,22°,15°,多云~晴,东南风2级,44 优
2024-11-14 周四,22°,19°,中雨~小雨,南风1级,43 优
2024-11-15 周五,21°,19°,中雨~小雨,东北风2级,31 优
2024-11-16 周六,22°,17°,阴~小雨,东北风2级,29 优
2024-11-17 周日,17°,11°,中雨~多云,北风3级,20 优
2024-11-18 周一,15°,11°,阴,东北风3级,25 优
2024-11-19 周二,14°,10°,阴~多云,东北风2级,38 优
2024-11-20 周三,15°,10°,阴~多云,东北风2级,47 优
2024-11-21 周四,15°,8°,多云,北风2级,56 良
2024-11-22 周五,15°,9°,多云,东北风2级,103 轻度
2024-11-23 周六,16°,9°,多云,东北风2级,53 良
2024-11-24 周日,18°,12°,多云,东风2级,37 优
2024-11-25 周一,19°,7°,小雨,西北风2级,38 优
2024-11-26 周二,13°,4°,晴~多云,西北风3级,30 优
2024-11-27 周三,15°,3°,晴,西北风3级,46 优
2024-11-28 周四,15°,4°,晴,西北风3级,55 良
2024-11-29 周五,16°,4°,晴,西南风2级,47 优
2024-11-30 周六,19°,6°,晴,西南风1级,53 良
