日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,29°,21°,小雨~阵雨,北风2级,15 优
2024-08-02 周五,26°,21°,小雨~晴,东北风2级,10 优
2024-08-03 周六,27°,21°,阴~多云,东南风2级,14 优
2024-08-04 周日,29°,22°,阴~大雨,东南风3级,14 优
2024-08-05 周一,27°,22°,小雨~雷阵雨,西南风3级,17 优
2024-08-06 周二,30°,21°,多云~晴,西南风3级,16 优
2024-08-07 周三,30°,21°,阴~雷阵雨,西南风2级,21 优
2024-08-08 周四,28°,20°,阴~晴,西北风1级,26 优
2024-08-09 周五,29°,19°,多云,西南风2级,26 优
2024-08-10 周六,27°,20°,阴~大雨,东南风2级,25 优
2024-08-11 周日,26°,21°,中雨~雷阵雨,南风2级,18 优
2024-08-12 周一,23°,18°,阴~多云,西北风2级,10 优
2024-08-13 周二,28°,20°,阴~多云,西北风2级,15 优
2024-08-14 周三,28°,20°,阴~晴,东北风2级,15 优
2024-08-15 周四,29°,20°,阴~晴,西南风1级,18 优
2024-08-16 周五,30°,20°,阴~多云,东南风1级,34 优
2024-08-17 周六,29°,20°,阴~晴,东北风1级,40 优
2024-08-18 周日,30°,20°,阴~中雨,东北风1级,28 优
2024-08-19 周一,23°,17°,阴~多云,东北风3级,14 优
2024-08-20 周二,25°,19°,阴,东风2级,18 优
2024-08-21 周三,25°,21°,阴~小雨,东南风2级,23 优
2024-08-22 周四,21°,17°,雾~多云,西北风2级,15 优
2024-08-23 周五,26°,17°,多云,西北风3级,30 优
2024-08-24 周六,26°,17°,多云~小雨,东南风1级,36 优
2024-08-25 周日,27°,16°,阴~阵雨,西南风3级,35 优
2024-08-26 周一,24°,15°,阴~晴,西风3级,21 优
2024-08-27 周二,26°,15°,阴~多云,西北风2级,21 优
2024-08-28 周三,26°,18°,阴~多云,西南风3级,28 优
2024-08-29 周四,28°,19°,阴~小雨,西南风3级,29 优
2024-08-30 周五,22°,13°,大雨~晴,西北风3级,22 优
2024-08-31 周六,24°,15°,晴~中雨,西北风2级,19 优
