日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,11°,7°,多云~晴,东南风1级,-
2023-12-02 周六,12°,7°,阴~多云,东南风1级,-
2023-12-03 周日,13°,6°,雾~多云,东南风1级,-
2023-12-04 周一,16°,8°,雾~阴,南风1级,-
2023-12-05 周二,10°,3°,雾~晴,东北风1级,-
2023-12-06 周三,18°,6°,雾~多云,南风1级,-
2023-12-07 周四,16°,7°,雾~多云,东北风1级,-
2023-12-08 周五,15°,8°,雾~多云,东北风1级,-
2023-12-09 周六,16°,10°,多云~阴,东风1级,-
2023-12-10 周日,14°,9°,雾~阴,东北风2级,-
2023-12-11 周一,16°,5°,雾~晴,东南风1级,-
2023-12-12 周二,11°,7°,雾~阴,东南风1级,-
2023-12-13 周三,13°,9°,阴,东北风2级,-
2023-12-14 周四,17°,6°,雾~阴,东北风2级,-
2023-12-15 周五,7°,2°,阴~多云,东北风3级,-
2023-12-16 周六,4°,1°,多云,东风1级,-
2023-12-17 周日,3°,0°,多云,东风2级,-
2023-12-18 周一,9°,1°,晴,西南风1级,-
2023-12-19 周二,9°,1°,雾~晴,南风2级,-
2023-12-20 周三,7°,5°,雾~阴,西南风2级,-
2023-12-21 周四,10°,5°,雾~多云,东北风1级,-
2023-12-22 周五,5°,2°,雾~晴,东北风2级,-
2023-12-23 周六,7°,2°,雾~晴,东北风2级,-
2023-12-24 周日,12°,3°,雾~多云,西南风1级,-
2023-12-25 周一,8°,2°,雾~晴,东北风1级,-
2023-12-26 周二,13°,1°,多云~晴,西南风1级,-
2023-12-27 周三,12°,4°,多云~阴,东风1级,-
2023-12-28 周四,11°,6°,多云,东北风1级,-
2023-12-29 周五,16°,5°,多云~晴,东南风1级,-
2023-12-30 周六,11°,5°,雾~多云,东风1级,-
2023-12-31 周日,12°,5°,阴,东风1级,150 轻度
