日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,5°,-4°,多云,西南风2级,156 中度
2024-01-02 周二,7°,-5°,晴,西南风1级,212 重度
2024-01-03 周三,8°,-4°,晴,东风微风,202 重度
2024-01-04 周四,10°,-4°,晴,西南风3级,108 轻度
2024-01-05 周五,8°,-6°,阴~多云,东北风2级,96 良
2024-01-06 周六,6°,-6°,晴,东北风3级,78 良
2024-01-07 周日,4°,-6°,晴,东风2级,59 良
2024-01-08 周一,6°,-2°,多云,南风4级,76 良
2024-01-09 周二,3°,-7°,多云~晴,北风3级,122 轻度
2024-01-10 周三,6°,-1°,雾~晴,西南风3级,87 良
2024-01-11 周四,8°,-4°,多云~晴,南风2级,195 中度
2024-01-12 周五,9°,-2°,多云~晴,西北风1级,278 重度
2024-01-13 周六,9°,-1°,多云,南风1级,343 严重
2024-01-14 周日,3°,-8°,晴,东北风4级,126 轻度
2024-01-15 周一,3°,0°,雾~雨夹雪,南风2级,65 良
2024-01-16 周二,1°,0°,雾~雨夹雪,南风2级,60 良
2024-01-17 周三,1°,0°,中雪~多云,北风2级,128 轻度
2024-01-18 周四,1°,-3°,雾~多云,东北风3级,81 良
2024-01-19 周五,0°,-1°,阴,东北风4级,38 优
2024-01-20 周六,0°,-5°,阴~多云,东北风3级,47 优
2024-01-21 周日,-1°,-8°,多云~晴,东北风4级,45 优
2024-01-22 周一,-3°,-9°,晴,北风2级,32 优
2024-01-23 周二,0°,-7°,晴,西北风2级,61 良
2024-01-24 周三,3°,-6°,雾~多云,西北风1级,69 良
2024-01-25 周四,6°,-5°,晴~多云,西南风2级,69 良
2024-01-26 周五,7°,-6°,多云,北风1级,107 轻度
2024-01-27 周六,5°,-5°,多云~晴,北风2级,104 轻度
2024-01-28 周日,8°,-3°,雾~多云,西南风3级,114 轻度
2024-01-29 周一,10°,-1°,多云,东南风3级,106 轻度
2024-01-30 周二,3°,-3°,多云,南风2级,192 中度
2024-01-31 周三,1°,-3°,多云~小雪,东北风4级,201 重度
