日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,26°,25°,大雨~多云,南风1级,16 优
2024-06-02 周日,34°,25°,阴~阵雨,西北风1级,24 优
2024-06-03 周一,28°,24°,中雨,东风2级,35 优
2024-06-04 周二,25°,23°,小雨~阵雨,东风2级,29 优
2024-06-05 周三,26°,23°,雾~中雨,东北风2级,59 良
2024-06-06 周四,26°,23°,雾~阵雨,东北风1级,20 优
2024-06-07 周五,25°,23°,小雨~阵雨,东风2级,33 优
2024-06-08 周六,28°,24°,大雨~阵雨,东北风2级,37 优
2024-06-09 周日,29°,25°,中雨~阵雨,东南风1级,20 优
2024-06-10 周一,33°,26°,阴~阵雨,东南风2级,24 优
2024-06-11 周二,33°,26°,小雨~多云,南风2级,22 优
2024-06-12 周三,34°,26°,小雨~多云,西南风1级,29 优
2024-06-13 周四,33°,26°,阴~阵雨,西南风1级,26 优
2024-06-14 周五,31°,27°,大雨~阵雨,南风2级,26 优
2024-06-15 周六,31°,26°,大雨~中雨,西南风1级,23 优
2024-06-16 周日,31°,26°,阵雨,南风2级,30 优
2024-06-17 周一,35°,27°,阴~多云,南风2级,29 优
2024-06-18 周二,32°,27°,阴~阵雨,南风2级,27 优
2024-06-19 周三,33°,27°,小雨~阴,东南风3级,27 优
2024-06-20 周四,35°,27°,阴,南风3级,26 优
2024-06-21 周五,35°,27°,小雨~多云,东南风3级,19 优
2024-06-22 周六,35°,27°,多云~阵雨,南风2级,23 优
2024-06-23 周日,33°,27°,小雨~中雨,东南风2级,21 优
2024-06-24 周一,32°,26°,小雨~阵雨,东南风3级,19 优
2024-06-25 周二,31°,26°,中雨~阵雨,东南风3级,20 优
2024-06-26 周三,32°,26°,小雨~多云,东南风2级,28 优
2024-06-27 周四,34°,26°,中雨~阴,东南风2级,37 优
2024-06-28 周五,35°,26°,雾~多云,南风3级,24 优
2024-06-29 周六,35°,27°,阴~多云,南风2级,23 优
2024-06-30 周日,34°,28°,阴,西南风2级,21 优
