日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,22°,15°,阴~多云,东南风1级,23 优
2024-10-02 周三,19°,15°,阴~小雨,东风2级,27 优
2024-10-03 周四,18°,15°,小雨~阴,东北风1级,27 优
2024-10-04 周五,19°,15°,雾~小雨,东北风1级,35 优
2024-10-05 周六,20°,15°,小雨,东北风1级,45 优
2024-10-06 周日,19°,16°,雾~小雨,东南风1级,44 优
2024-10-07 周一,22°,17°,小雨,东南风2级,47 优
2024-10-08 周二,22°,16°,多云~晴,东南风2级,56 良
2024-10-09 周三,23°,18°,多云~小雨,东北风2级,65 良
2024-10-10 周四,20°,17°,雾~小雨,西南风1级,65 良
2024-10-11 周五,18°,17°,小雨~中雨,东北风2级,34 优
2024-10-12 周六,20°,18°,小雨,东北风2级,35 优
2024-10-13 周日,25°,17°,雾~阴,东南风1级,33 优
2024-10-14 周一,26°,18°,雾~晴,东南风1级,42 优
2024-10-15 周二,28°,18°,雾~多云,东风1级,61 良
2024-10-16 周三,23°,19°,多云~小雨,东北风1级,139 轻度
2024-10-17 周四,24°,18°,多云,东北风1级,28 优
2024-10-18 周五,23°,18°,雾~小雨,东北风2级,36 优
2024-10-19 周六,19°,17°,小雨,东北风1级,35 优
2024-10-20 周日,19°,17°,小雨~阴,东风2级,26 优
2024-10-21 周一,21°,17°,阴~小雨,东北风1级,26 优
2024-10-22 周二,24°,16°,阴~多云,东北风2级,31 优
2024-10-23 周三,26°,18°,多云~阴,东南风1级,45 优
2024-10-24 周四,21°,19°,小雨,西北风2级,57 良
2024-10-25 周五,22°,18°,多云~小雨,西北风1级,57 良
2024-10-26 周六,18°,14°,雾~阴,西北风3级,40 优
2024-10-27 周日,24°,14°,阴~多云,东北风1级,31 优
2024-10-28 周一,25°,16°,多云~阴,东南风1级,63 良
2024-10-29 周二,23°,16°,阴,东北风2级,83 良
2024-10-30 周三,21°,18°,多云~小雨,西北风1级,71 良
2024-10-31 周四,18°,17°,小雨,北风1级,83 良
