日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,9°,3°,晴~多云,西北风5级,-
2023-12-02 周六,14°,5°,阴,北风2级,-
2023-12-03 周日,14°,8°,多云,东北风2级,-
2023-12-04 周一,12°,10°,阴~多云,东北风2级,-
2023-12-05 周二,16°,7°,多云~阴,西北风3级,-
2023-12-06 周三,19°,6°,多云~晴,西北风3级,-
2023-12-07 周四,18°,10°,晴,南风2级,-
2023-12-08 周五,21°,13°,晴~阴,南风5级,-
2023-12-09 周六,24°,16°,阴~小雨,东南风2级,-
2023-12-10 周日,18°,13°,小雨,东南风2级,-
2023-12-11 周一,17°,8°,小雨,西北风5级,-
2023-12-12 周二,8°,7°,阴,西北风5级,-
2023-12-13 周三,16°,13°,阴~多云,东南风2级,-
2023-12-14 周四,23°,15°,多云,南风4级,-
2023-12-15 周五,12°,3°,小雨,西北风5级,-
2023-12-16 周六,3°,0°,阴,西北风6级,-
2023-12-17 周日,5°,0°,阴~小雨,西北风4级,-
2023-12-18 周一,8°,4°,阴~小雨,东北风2级,-
2023-12-19 周二,6°,2°,中雨~小雨,西北风5级,-
2023-12-20 周三,5°,0°,多云~晴,西北风5级,-
2023-12-21 周四,1°,-3°,晴,西北风6级,-
2023-12-22 周五,1°,-2°,多云~阴,西北风5级,-
2023-12-23 周六,8°,0°,阴~多云,西北风3级,-
2023-12-24 周日,7°,-2°,晴,西北风5级,-
2023-12-25 周一,8°,0°,晴,西北风3级,-
2023-12-26 周二,11°,5°,阴~晴,南风3级,-
2023-12-27 周三,17°,6°,多云,西北风1级,-
2023-12-28 周四,14°,6°,多云~晴,西北风3级,-
2023-12-29 周五,14°,8°,雾~多云,东北风2级,-
2023-12-30 周六,18°,8°,雾~晴,西南风1级,-
2023-12-31 周日,11°,4°,晴~多云,西北风5级,96 良
