日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,27°,19°,阴,东风3级,44 优
2024-06-02 周日,26°,20°,阴,东风4级,43 优
2024-06-03 周一,31°,21°,多云~阴,东南风2级,59 良
2024-06-04 周二,29°,21°,阴~小雨,东风3级,62 良
2024-06-05 周三,22°,17°,小雨~晴,东风2级,47 优
2024-06-06 周四,22°,18°,阴~多云,东风3级,35 优
2024-06-07 周五,26°,19°,阴~晴,东南风2级,33 优
2024-06-08 周六,31°,23°,多云,西北风1级,59 良
2024-06-09 周日,32°,23°,阴~多云,南风2级,56 良
2024-06-10 周一,28°,21°,阴~多云,东南风3级,36 优
2024-06-11 周二,29°,23°,阴~多云,西南风1级,33 优
2024-06-12 周三,33°,23°,多云,西风1级,52 良
2024-06-13 周四,33°,25°,阴~多云,东南风2级,58 良
2024-06-14 周五,33°,24°,阴~晴,东南风2级,64 良
2024-06-15 周六,34°,25°,阴~多云,东风1级,79 良
2024-06-16 周日,34°,24°,阴,东风4级,76 良
2024-06-17 周一,31°,22°,多云~晴,东南风3级,43 优
2024-06-18 周二,32°,24°,多云~小雨,东南风4级,55 良
2024-06-19 周三,26°,24°,中雨,东南风2级,20 优
2024-06-20 周四,32°,26°,小雨,西南风1级,32 优
2024-06-21 周五,31°,26°,阴~中雨,西南风3级,26 优
2024-06-22 周六,27°,26°,大雨~小雨,西南风3级,19 优
2024-06-23 周日,25°,23°,阴,西南风3级,26 优
2024-06-24 周一,29°,21°,阴~中雨,西南风2级,27 优
2024-06-25 周二,27°,21°,阴,东南风2级,29 优
2024-06-26 周三,25°,22°,阴~小雨,东风2级,36 优
2024-06-27 周四,25°,22°,阴~小雨,西南风2级,26 优
2024-06-28 周五,27°,23°,大雨,东南风3级,13 优
2024-06-29 周六,27°,24°,中雨~大雨,西南风4级,20 优
2024-06-30 周日,26°,24°,大暴雨~小雨,西南风2级,19 优
