日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,8°,0°,多云,东北风1级,122 轻度
2024-01-02 周二,10°,1°,阴~晴,东北风1级,79 良
2024-01-03 周三,11°,0°,晴,西北风3级,96 良
2024-01-04 周四,12°,1°,晴,东南风3级,120 轻度
2024-01-05 周五,15°,4°,多云~小雨,西北风1级,100 良
2024-01-06 周六,13°,-1°,阴~晴,西北风2级,193 中度
2024-01-07 周日,4°,0°,阴~晴,东北风3级,98 良
2024-01-08 周一,8°,6°,阴~多云,东南风3级,30 优
2024-01-09 周二,13°,3°,多云,西风2级,95 良
2024-01-10 周三,7°,-1°,多云~晴,西北风3级,129 轻度
2024-01-11 周四,12°,2°,多云~晴,西南风2级,133 轻度
2024-01-12 周五,17°,3°,多云~晴,西风2级,119 轻度
2024-01-13 周六,17°,7°,多云,东南风2级,145 轻度
2024-01-14 周日,20°,3°,多云~阴,西北风2级,135 轻度
2024-01-15 周一,7°,0°,多云~晴,东北风3级,43 优
2024-01-16 周二,11°,7°,阴~多云,东南风3级,31 优
2024-01-17 周三,17°,7°,多云~小雨,西南风1级,57 良
2024-01-18 周四,8°,7°,小雨,北风2级,53 良
2024-01-19 周五,7°,5°,中雨,东北风3级,40 优
2024-01-20 周六,7°,4°,晴,西北风4级,52 良
2024-01-21 周日,3°,-2°,雾~阴,西北风3级,64 良
2024-01-22 周一,0°,-5°,阴~晴,西北风4级,43 优
2024-01-23 周二,0°,-4°,晴,西北风4级,35 优
2024-01-24 周三,4°,-3°,晴~多云,西北风3级,53 良
2024-01-25 周四,6°,-1°,晴,西北风2级,65 良
2024-01-26 周五,7°,-1°,阴~多云,西北风2级,90 良
2024-01-27 周六,7°,0°,多云~晴,西北风2级,119 轻度
2024-01-28 周日,10°,0°,多云~晴,西北风2级,115 轻度
2024-01-29 周一,10°,7°,多云~小雨,东南风3级,127 轻度
2024-01-30 周二,10°,8°,雾~小雨,东南风2级,57 良
2024-01-31 周三,10°,7°,小雨~中雨,东北风2级,32 优
