日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,25°,16°,多云,东南风4级,63 良
2024-01-02 周二,22°,16°,小雨~多云,东南风3级,59 良
2024-01-03 周三,22°,14°,多云,西北风1级,48 优
2024-01-04 周四,23°,14°,多云,东南风3级,42 优
2024-01-05 周五,24°,16°,多云~阴,东南风3级,50 优
2024-01-06 周六,25°,14°,多云~中雨,东南风2级,51 良
2024-01-07 周日,20°,14°,阴,东南风3级,65 良
2024-01-08 周一,25°,17°,雾~多云,东南风3级,53 良
2024-01-09 周二,25°,17°,雾~多云,东南风2级,53 良
2024-01-10 周三,25°,16°,小雨~多云,东南风2级,46 优
2024-01-11 周四,23°,16°,阴~多云,东南风3级,46 优
2024-01-12 周五,23°,16°,雾~多云,东南风2级,60 良
2024-01-13 周六,24°,17°,雾~阴,东南风3级,73 良
2024-01-14 周日,26°,17°,多云~晴,东南风3级,48 优
2024-01-15 周一,27°,16°,雾~晴,东南风3级,48 优
2024-01-16 周二,23°,17°,阴~多云,东南风4级,47 优
2024-01-17 周三,25°,17°,多云,东南风4级,41 优
2024-01-18 周四,26°,17°,雾~多云,东南风3级,40 优
2024-01-19 周五,26°,15°,雾~多云,东南风3级,40 优
2024-01-20 周六,25°,14°,雾~多云,东南风1级,49 优
2024-01-21 周日,23°,11°,阴~多云,东南风2级,42 优
2024-01-22 周一,15°,6°,阴~小雨,北风3级,36 优
2024-01-23 周二,7°,5°,小雨~阴,北风2级,29 优
2024-01-24 周三,9°,7°,阴,东北风2级,47 优
2024-01-25 周四,13°,9°,阴,北风2级,54 良
2024-01-26 周五,11°,10°,阴,北风2级,60 良
2024-01-27 周六,10°,9°,小雨,北风2级,39 优
2024-01-28 周日,13°,12°,阴~小雨,北风2级,31 优
2024-01-29 周一,19°,13°,雾~多云,东南风3级,48 优
2024-01-30 周二,24°,18°,雾~阴,东南风3级,55 良
2024-01-31 周三,23°,19°,阴~多云,东南风3级,52 良
