日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,29°,22°,阴~多云,东北风2级,39 优
2024-06-02 周日,27°,21°,阴~晴,北风2级,42 优
2024-06-03 周一,29°,20°,雾~小雨,东北风2级,47 优
2024-06-04 周二,22°,19°,中雨~多云,东北风2级,33 优
2024-06-05 周三,25°,18°,阴~多云,东北风2级,34 优
2024-06-06 周四,28°,20°,雾~小雨,东南风2级,46 优
2024-06-07 周五,28°,21°,雾~小雨,西南风2级,43 优
2024-06-08 周六,30°,23°,雾~晴,西南风2级,42 优
2024-06-09 周日,27°,23°,阴~小雨,东南风2级,34 优
2024-06-10 周一,30°,23°,雾~晴,南风2级,32 优
2024-06-11 周二,32°,24°,雾~晴,西南风2级,34 优
2024-06-12 周三,34°,24°,多云~晴,南风2级,33 优
2024-06-13 周四,34°,26°,雾~多云,东南风2级,34 优
2024-06-14 周五,36°,26°,阴~多云,南风1级,51 良
2024-06-15 周六,37°,26°,阴~多云,东风2级,59 良
2024-06-16 周日,33°,25°,晴~小雨,东北风2级,42 优
2024-06-17 周一,26°,24°,中雨~晴,北风3级,38 优
2024-06-18 周二,30°,25°,雾~多云,东南风2级,40 优
2024-06-19 周三,30°,25°,雾~小雨,东北风1级,43 优
2024-06-20 周四,28°,26°,小雨,东北风1级,32 优
2024-06-21 周五,31°,24°,小雨~暴雨,西南风3级,35 优
2024-06-22 周六,32°,25°,中雨~小雨,西南风2级,23 优
2024-06-23 周日,31°,26°,雾~晴,南风2级,24 优
2024-06-24 周一,30°,23°,阴~小雨,南风3级,22 优
2024-06-25 周二,29°,22°,阴,东南风3级,31 优
2024-06-26 周三,26°,22°,阴~小雨,西南风2级,32 优
2024-06-27 周四,24°,20°,阴~暴雨,西南风3级,29 优
2024-06-28 周五,24°,20°,大雨~暴雨,西风1级,19 优
2024-06-29 周六,27°,23°,雾~晴,东南风1级,22 优
2024-06-30 周日,30°,27°,雾~晴,东南风2级,22 优
