日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,8°,1°,多云,东北风3级,113 轻度
2024-03-02 周六,13°,4°,多云,西南风3级,103 轻度
2024-03-03 周日,11°,8°,多云~阴,东南风3级,65 良
2024-03-04 周一,8°,7°,雾~多云,东北风2级,74 良
2024-03-05 周二,12°,7°,多云~小雨,北风4级,123 轻度
2024-03-06 周三,12°,6°,多云~晴,东北风3级,113 轻度
2024-03-07 周四,17°,7°,阴~多云,东北风2级,89 良
2024-03-08 周五,16°,9°,雾~多云,东北风2级,100 良
2024-03-09 周六,16°,7°,阴~晴,南风2级,83 良
2024-03-10 周日,17°,8°,阴~多云,南风2级,86 良
2024-03-11 周一,23°,10°,多云~晴,西南风2级,78 良
2024-03-12 周二,20°,10°,多云~晴,东北风3级,75 良
2024-03-13 周三,15°,9°,阴~多云,东北风2级,92 良
2024-03-14 周四,20°,12°,多云,东北风2级,109 轻度
2024-03-15 周五,18°,13°,多云,东南风1级,114 轻度
2024-03-16 周六,21°,15°,多云~小雨,东北风1级,98 良
2024-03-17 周日,15°,9°,多云~小雨,北风4级,105 轻度
2024-03-18 周一,11°,8°,小雨~多云,北风4级,61 良
2024-03-19 周二,20°,10°,多云~晴,东北风2级,99 良
2024-03-20 周三,22°,11°,晴~多云,南风3级,97 良
2024-03-21 周四,22°,11°,多云~晴,南风4级,84 良
2024-03-22 周五,24°,17°,阴~中雨,南风3级,74 良
2024-03-23 周六,20°,12°,小雨~阴,北风2级,61 良
2024-03-24 周日,13°,8°,阴~中雨,北风3级,56 良
2024-03-25 周一,13°,7°,阴~多云,北风3级,43 优
2024-03-26 周二,19°,10°,雾~小雨,南风2级,57 良
2024-03-27 周三,14°,12°,雾~多云,东北风1级,87 良
2024-03-28 周四,25°,13°,多云~晴,西南风2级,89 良
2024-03-29 周五,29°,16°,晴~多云,西南风3级,50 优
2024-03-30 周六,28°,17°,阴~多云,东北风3级,60 良
2024-03-31 周日,27°,17°,晴,西南风2级,82 良
