日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,21°,17°,大雨~中雨,东北风2级,27 优
2024-05-02 周四,22°,18°,小雨~多云,东北风2级,27 优
2024-05-03 周五,25°,19°,多云~阴,东风2级,31 优
2024-05-04 周六,24°,20°,阴~中雨,东南风1级,30 优
2024-05-05 周日,28°,21°,阴~多云,南风2级,35 优
2024-05-06 周一,31°,21°,多云~阴,东南风2级,44 优
2024-05-07 周二,26°,20°,阴~多云,东北风1级,44 优
2024-05-08 周三,29°,18°,阴~多云,东北风2级,48 优
2024-05-09 周四,26°,19°,阴,东北风3级,47 优
2024-05-10 周五,27°,21°,阴,东风1级,36 优
2024-05-11 周六,30°,23°,阴~小雨,南风2级,52 良
2024-05-12 周日,30°,19°,阴~中雨,西南风1级,41 优
2024-05-13 周一,22°,17°,小雨~多云,东北风2级,28 优
2024-05-14 周二,26°,16°,晴~多云,东风2级,38 优
2024-05-15 周三,27°,18°,晴~多云,东南风1级,43 优
2024-05-16 周四,26°,16°,多云~晴,东北风3级,44 优
2024-05-17 周五,27°,19°,阴~多云,东南风1级,33 优
2024-05-18 周六,29°,21°,阴,东风2级,38 优
2024-05-19 周日,29°,22°,阴~小雨,东北风2级,29 优
2024-05-20 周一,25°,21°,小雨~大雨,东北风1级,21 优
2024-05-21 周二,22°,21°,大雨~小雨,西北风2级,18 优
2024-05-22 周三,22°,21°,中雨,东北风1级,17 优
2024-05-23 周四,22°,21°,中雨,东南风1级,30 优
2024-05-24 周五,27°,21°,小雨,南风1级,46 优
2024-05-25 周六,26°,23°,小雨,东南风1级,55 良
2024-05-26 周日,28°,24°,小雨~阴,南风2级,34 优
2024-05-27 周一,27°,23°,小雨,西南风3级,23 优
2024-05-28 周二,24°,19°,阴~晴,东北风3级,29 优
2024-05-29 周三,28°,21°,多云,东北风3级,38 优
2024-05-30 周四,27°,22°,小雨,西北风1级,36 优
2024-05-31 周五,30°,22°,雾~中雨,西南风2级,34 优
