日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-3°,-7°,阴~多云,东北风4级,42 优
2024-02-02 周五,0°,-4°,阴,东北风2级,45 优
2024-02-03 周六,0°,-6°,阴~多云,东北风3级,46 优
2024-02-04 周日,-1°,-6°,阴~中雪,东北风3级,37 优
2024-02-05 周一,1°,-6°,多云~晴,北风3级,62 良
2024-02-06 周二,3°,-6°,多云,北风1级,124 轻度
2024-02-07 周三,4°,-6°,多云,北风2级,119 轻度
2024-02-08 周四,5°,-5°,多云~晴,西南风1级,126 轻度
2024-02-09 周五,7°,-3°,多云~晴,西南风2级,221 重度
2024-02-10 周六,9°,-4°,多云~晴,北风2级,258 重度
2024-02-11 周日,11°,0°,多云~晴,西南风2级,139 轻度
2024-02-12 周一,16°,4°,阴~晴,西南风3级,103 轻度
2024-02-13 周二,19°,6°,晴,西南风3级,69 良
2024-02-14 周三,20°,-2°,多云~雨夹雪,东北风2级,75 良
2024-02-15 周四,5°,-3°,阴~晴,北风3级,37 优
2024-02-16 周五,10°,4°,晴,西南风4级,52 良
2024-02-17 周六,15°,8°,阴~小雨,南风3级,51 良
2024-02-18 周日,15°,-1°,小雨,东南风1级,79 良
2024-02-19 周一,4°,-5°,小雪,东北风5级,36 优
2024-02-20 周二,-2°,-7°,阴~暴雪,东北风4级,39 优
2024-02-21 周三,-5°,-7°,小雪,东北风5级,31 优
2024-02-22 周四,-2°,-8°,阴~多云,东北风4级,36 优
2024-02-23 周五,0°,-6°,阴,东北风3级,37 优
2024-02-24 周六,0°,-6°,小雪~晴,北风2级,70 良
2024-02-25 周日,7°,-4°,多云~晴,北风2级,94 良
2024-02-26 周一,5°,-5°,多云~晴,东北风3级,78 良
2024-02-27 周二,8°,-2°,晴~多云,西南风2级,71 良
2024-02-28 周三,10°,-1°,阴,东北风2级,85 良
2024-02-29 周四,2°,-5°,多云,东北风4级,92 良
