日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-2°,-4°,阴,东北风4级,45 优
2024-02-02 周五,0°,-6°,小雪,东北风2级,57 良
2024-02-03 周六,0°,-2°,阴,东北风3级,83 良
2024-02-04 周日,0°,-7°,中雪~小雪,东北风3级,60 良
2024-02-05 周一,0°,-6°,多云,西北风2级,78 良
2024-02-06 周二,4°,-5°,多云,东北风1级,138 轻度
2024-02-07 周三,4°,-4°,多云~阴,北风2级,152 中度
2024-02-08 周四,6°,-1°,小雪~晴,西南风2级,164 中度
2024-02-09 周五,10°,-3°,小雪~晴,西南风2级,149 轻度
2024-02-10 周六,10°,-3°,多云~晴,西南风1级,328 严重
2024-02-11 周日,15°,5°,雨夹雪~晴,西南风3级,214 重度
2024-02-12 周一,18°,8°,阴~晴,西南风4级,85 良
2024-02-13 周二,21°,7°,晴~多云,西南风3级,71 良
2024-02-14 周三,17°,1°,多云~小雨,西北风2级,103 轻度
2024-02-15 周四,10°,2°,多云~晴,东北风2级,43 优
2024-02-16 周五,13°,5°,晴,南风4级,59 良
2024-02-17 周六,16°,12°,多云~小雨,南风4级,52 良
2024-02-18 周日,14°,8°,雾~多云,东南风1级,81 良
2024-02-19 周一,6°,-1°,雨夹雪,东北风4级,49 优
2024-02-20 周二,0°,-5°,小雪~大雪,东北风4级,40 优
2024-02-21 周三,-4°,-7°,大雪~阴,东北风5级,39 优
2024-02-22 周四,0°,-6°,阴~多云,东北风4级,36 优
2024-02-23 周五,1°,-5°,阴,东北风3级,38 优
2024-02-24 周六,2°,-5°,阴~多云,西北风2级,66 良
2024-02-25 周日,8°,-2°,阴~多云,东北风2级,187 中度
2024-02-26 周一,8°,-3°,雾~多云,东风2级,91 良
2024-02-27 周二,10°,1°,晴~多云,南风2级,83 良
2024-02-28 周三,11°,2°,阴~多云,东北风2级,82 良
2024-02-29 周四,6°,-1°,阴,东北风4级,100 良
