日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,36°,28°,阴~多云,西南风2级,24 优
2024-08-02 周五,37°,28°,阴~晴,西南风2级,26 优
2024-08-03 周六,36°,28°,多云~晴,西南风2级,27 优
2024-08-04 周日,37°,28°,多云,西南风2级,31 优
2024-08-05 周一,37°,28°,阴~多云,西南风1级,36 优
2024-08-06 周二,38°,28°,多云~晴,西南风1级,44 优
2024-08-07 周三,38°,28°,阴~晴,西南风1级,38 优
2024-08-08 周四,37°,28°,多云~晴,西南风2级,32 优
2024-08-09 周五,38°,28°,多云,西南风2级,36 优
2024-08-10 周六,37°,27°,阴~多云,西南风2级,34 优
2024-08-11 周日,34°,27°,阴~多云,西南风2级,41 优
2024-08-12 周一,34°,25°,暴雨~阴,西南风1级,26 优
2024-08-13 周二,34°,25°,阴,西南风1级,26 优
2024-08-14 周三,33°,25°,雾~多云,西北风1级,33 优
2024-08-15 周四,33°,26°,阴,东北风1级,36 优
2024-08-16 周五,33°,26°,雾~阴,东北风2级,36 优
2024-08-17 周六,30°,26°,阴~小雨,东北风1级,35 优
2024-08-18 周日,30°,26°,阴,东北风1级,36 优
2024-08-19 周一,33°,26°,阴,西北风1级,36 优
2024-08-20 周二,35°,25°,小雨~多云,西北风1级,35 优
2024-08-21 周三,36°,27°,阴~多云,西南风1级,40 优
2024-08-22 周四,36°,27°,雾~多云,西南风2级,35 优
2024-08-23 周五,36°,27°,阴~多云,西南风2级,26 优
2024-08-24 周六,36°,27°,阴~多云,西南风1级,27 优
2024-08-25 周日,35°,26°,中雨~晴,东南风1级,36 优
2024-08-26 周一,36°,28°,阴~多云,西南风1级,35 优
2024-08-27 周二,37°,26°,多云,西风2级,36 优
2024-08-28 周三,30°,25°,阴~阵雨,西风2级,29 优
2024-08-29 周四,28°,25°,阴,北风1级,34 优
2024-08-30 周五,34°,26°,阴~多云,西风1级,39 优
2024-08-31 周六,37°,27°,多云~晴,东风1级,49 优
