日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,-1°,-14°,晴~多云,西南风3级,89 良
2024-01-02 周二,-1°,-13°,多云,西南风1级,144 轻度
2024-01-03 周三,-1°,-12°,晴,东北风1级,118 轻度
2024-01-04 周四,4°,-8°,晴,西南风4级,72 良
2024-01-05 周五,0°,-12°,晴~多云,东北风2级,56 良
2024-01-06 周六,-5°,-15°,多云~晴,东北风3级,51 良
2024-01-07 周日,-8°,-15°,晴~多云,东北风2级,31 优
2024-01-08 周一,0°,-9°,阴~多云,南风4级,39 优
2024-01-09 周二,-2°,-15°,多云~晴,东北风3级,50 优
2024-01-10 周三,0°,-2°,多云~晴,西南风3级,66 良
2024-01-11 周四,5°,-11°,多云~晴,西北风1级,65 良
2024-01-12 周五,2°,-12°,多云~晴,西南风1级,60 良
2024-01-13 周六,-1°,-8°,多云~小雪,南风1级,53 良
2024-01-14 周日,-3°,-14°,晴,东北风4级,42 优
2024-01-15 周一,0°,-12°,晴,东南风1级,62 良
2024-01-16 周二,2°,-2°,晴,西南风3级,66 良
2024-01-17 周三,3°,-9°,多云,西南风3级,72 良
2024-01-18 周四,-1°,-11°,晴,东北风5级,36 优
2024-01-19 周五,-3°,-10°,多云,东北风5级,49 优
2024-01-20 周六,-7°,-16°,阴~多云,东北风4级,55 良
2024-01-21 周日,-11°,-18°,阴~晴,北风5级,41 优
2024-01-22 周一,-10°,-20°,阴~晴,北风4级,28 优
2024-01-23 周二,-7°,-15°,阴~晴,西北风1级,36 优
2024-01-24 周三,-4°,-12°,晴,西北风1级,43 优
2024-01-25 周四,0°,-13°,晴,西南风1级,74 良
2024-01-26 周五,0°,-15°,多云~晴,东北风2级,78 良
2024-01-27 周六,-2°,-12°,阴~晴,东北风2级,50 优
2024-01-28 周日,0°,-12°,阴~晴,南风1级,100 良
2024-01-29 周一,-2°,-12°,晴,东北风3级,93 良
2024-01-30 周二,4°,-10°,多云~小雪,南风3级,102 轻度
2024-01-31 周三,-9°,-18°,多云,东北风5级,63 良
