日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,31°,24°,阴~雷阵雨,西南风3级,36 优
2024-08-02 周五,32°,23°,阴~多云,东风2级,33 优
2024-08-03 周六,31°,25°,阴~雷阵雨,南风2级,51 良
2024-08-04 周日,25°,24°,中雨~阵雨,南风3级,25 优
2024-08-05 周一,28°,24°,小雨~多云,南风3级,25 优
2024-08-06 周二,30°,23°,多云,南风2级,38 优
2024-08-07 周三,29°,23°,阴~多云,西南风3级,36 优
2024-08-08 周四,30°,23°,小雨~多云,东风1级,56 良
2024-08-09 周五,30°,24°,阴~中雨,东南风2级,60 良
2024-08-10 周六,28°,25°,小雨~阵雨,南风5级,32 优
2024-08-11 周日,30°,23°,阴~阵雨,南风3级,57 良
2024-08-12 周一,30°,23°,阴~阵雨,东北风3级,43 优
2024-08-13 周二,29°,23°,阴~多云,东北风3级,22 优
2024-08-14 周三,31°,22°,阴~晴,东北风2级,33 优
2024-08-15 周四,32°,22°,多云~晴,东北风2级,42 优
2024-08-16 周五,32°,24°,多云~阴,东风1级,48 优
2024-08-17 周六,32°,23°,多云~阴,东南风2级,50 优
2024-08-18 周日,30°,23°,阴~小雨,西南风2级,52 良
2024-08-19 周一,27°,23°,暴雨~大雨,东北风2级,30 优
2024-08-20 周二,27°,23°,中雨~暴雨,东南风3级,23 优
2024-08-21 周三,28°,23°,阴~多云,东南风1级,22 优
2024-08-22 周四,29°,21°,暴雨~多云,东北风3级,33 优
2024-08-23 周五,29°,22°,阴~阵雨,东南风1级,31 优
2024-08-24 周六,29°,21°,阴~雷阵雨,南风2级,44 优
2024-08-25 周日,31°,21°,阴,东北风2级,38 优
2024-08-26 周一,24°,18°,小雨~晴,西风2级,39 优
2024-08-27 周二,30°,18°,晴,东北风3级,36 优
2024-08-28 周三,29°,17°,阴~晴,东南风1级,38 优
2024-08-29 周四,28°,19°,晴,西南风3级,58 良
2024-08-30 周五,32°,19°,晴,北风2级,54 良
2024-08-31 周六,29°,21°,多云~小雨,南风1级,39 优
