日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,24°,11°,多云~晴,北风4级,35 优
2024-10-02 周三,22°,8°,晴,东北风3级,47 优
2024-10-03 周四,22°,10°,晴,东北风2级,44 优
2024-10-04 周五,24°,13°,晴~多云,东风3级,43 优
2024-10-05 周六,24°,17°,多云~小雨,东风3级,35 优
2024-10-06 周日,17°,14°,小雨,东北风3级,28 优
2024-10-07 周一,17°,11°,小雨~多云,东风2级,28 优
2024-10-08 周二,23°,10°,雾~多云,东北风2级,53 良
2024-10-09 周三,24°,13°,晴~多云,南风1级,49 优
2024-10-10 周四,25°,13°,多云~晴,东南风1级,74 良
2024-10-11 周五,27°,16°,雾~多云,东南风2级,75 良
2024-10-12 周六,26°,17°,阴,东南风3级,74 良
2024-10-13 周日,23°,16°,小雨,东南风1级,71 良
2024-10-14 周一,25°,15°,雾~晴,西南风1级,62 良
2024-10-15 周二,26°,17°,雾~多云,东风3级,71 良
2024-10-16 周三,25°,17°,雾~阴,东南风4级,70 良
2024-10-17 周四,22°,20°,小雨~大雨,东南风3级,46 优
2024-10-18 周五,25°,13°,阴,西风4级,28 优
2024-10-19 周六,16°,8°,阴~多云,东北风4级,44 优
2024-10-20 周日,18°,12°,阴~小雨,东北风2级,50 优
2024-10-21 周一,17°,13°,小雨,东北风1级,72 良
2024-10-22 周二,16°,5°,小雨~晴,西北风3级,77 良
2024-10-23 周三,19°,5°,雾~晴,东南风1级,68 良
2024-10-24 周四,20°,10°,晴~多云,东风2级,46 优
2024-10-25 周五,22°,13°,雾~多云,东北风3级,65 良
2024-10-26 周六,21°,14°,雾~阴,东北风3级,76 良
2024-10-27 周日,20°,12°,阴,东北风1级,96 良
2024-10-28 周一,19°,7°,多云~晴,东北风2级,113 轻度
2024-10-29 周二,21°,7°,雾~晴,东风2级,76 良
2024-10-30 周三,22°,10°,晴~多云,东风3级,55 良
2024-10-31 周四,23°,12°,雾~多云,东北风3级,64 良
