日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,7°,-4°,晴,西南风1级,-
2023-12-02 周六,9°,-3°,阴~晴,东北风1级,-
2023-12-03 周日,11°,-1°,晴~多云,西南风3级,-
2023-12-04 周一,11°,-1°,阴~晴,西北风1级,-
2023-12-05 周二,14°,2°,多云~晴,西南风2级,-
2023-12-06 周三,13°,3°,多云~晴,西南风3级,-
2023-12-07 周四,19°,4°,晴,西南风2级,-
2023-12-08 周五,22°,5°,多云~晴,西风2级,-
2023-12-09 周六,9°,1°,阴~多云,东北风4级,-
2023-12-10 周日,3°,-2°,阴~中雪,东北风4级,-
2023-12-11 周一,-1°,-4°,阴~多云,东北风2级,-
2023-12-12 周二,0°,-3°,阴,东南风1级,-
2023-12-13 周三,0°,-2°,小雪,东北风2级,-
2023-12-14 周四,-3°,-8°,暴雪~阴,东北风4级,-
2023-12-15 周五,-3°,-11°,雾~多云,北风1级,-
2023-12-16 周六,-4°,-17°,晴,西北风3级,-
2023-12-17 周日,-4°,-10°,阴~多云,西南风2级,-
2023-12-18 周一,-1°,-10°,阴~晴,西南风1级,-
2023-12-19 周二,-3°,-15°,多云~晴,北风2级,-
2023-12-20 周三,-6°,-14°,多云~晴,西风2级,-
2023-12-21 周四,-5°,-12°,晴,西北风2级,-
2023-12-22 周五,-2°,-11°,多云,西南风2级,-
2023-12-23 周六,-3°,-9°,多云~晴,西北风2级,-
2023-12-24 周日,0°,-8°,多云~晴,西南风2级,-
2023-12-25 周一,3°,-5°,多云~晴,西南风2级,-
2023-12-26 周二,1°,-3°,多云,东北风3级,-
2023-12-27 周三,2°,-4°,多云~晴,东北风2级,-
2023-12-28 周四,3°,-6°,多云,西南风1级,-
2023-12-29 周五,-2°,-5°,雾,西南风2级,-
2023-12-30 周六,0°,-4°,雾~多云,西北风2级,-
2023-12-31 周日,6°,-6°,多云~晴,东北风2级,128 轻度
