日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,18°,15°,小雨~多云,北风3级,31 优
2024-10-02 周三,25°,17°,晴,北风3级,52 良
2024-10-03 周四,25°,16°,多云~晴,北风2级,57 良
2024-10-04 周五,26°,17°,阴~晴,东北风2级,54 良
2024-10-05 周六,28°,17°,晴~多云,东北风2级,62 良
2024-10-06 周日,28°,17°,晴,北风2级,74 良
2024-10-07 周一,25°,17°,多云,北风3级,72 良
2024-10-08 周二,19°,18°,阴~小雨,北风2级,57 良
2024-10-09 周三,26°,17°,阴~晴,东北风1级,52 良
2024-10-10 周四,28°,17°,多云,东北风2级,72 良
2024-10-11 周五,29°,18°,多云,东南风1级,72 良
2024-10-12 周六,30°,20°,阴~多云,东南风1级,78 良
2024-10-13 周日,29°,20°,多云,东北风1级,179 中度
2024-10-14 周一,20°,19°,中雨~小雨,北风2级,92 良
2024-10-15 周二,20°,19°,小雨,东北风1级,40 优
2024-10-16 周三,22°,20°,小雨~阴,北风2级,37 优
2024-10-17 周四,28°,22°,小雨,东南风2级,57 良
2024-10-18 周五,27°,19°,雾~小雨,西北风1级,47 优
2024-10-19 周六,21°,17°,小雨,北风3级,29 优
2024-10-20 周日,19°,16°,阴,北风2级,28 优
2024-10-21 周一,19°,14°,阴~小雨,东北风1级,43 优
2024-10-22 周二,15°,11°,雾~晴,北风3级,25 优
2024-10-23 周三,21°,12°,阴~多云,北风2级,35 优
2024-10-24 周四,25°,12°,雾~晴,北风2级,46 优
2024-10-25 周五,24°,15°,阴~多云,北风2级,62 良
2024-10-26 周六,21°,17°,阴~小雨,北风2级,70 良
2024-10-27 周日,17°,16°,小雨,西北风2级,58 良
2024-10-28 周一,20°,14°,多云,北风2级,67 良
2024-10-29 周二,21°,14°,多云~晴,东北风2级,68 良
2024-10-30 周三,24°,13°,雾~晴,东北风2级,55 良
2024-10-31 周四,25°,15°,多云,北风3级,65 良
