日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,13°,3°,阴~多云,东风2级,-
2023-12-02 周六,13°,7°,阴,东北风2级,-
2023-12-03 周日,11°,8°,阴~小雨,东北风2级,-
2023-12-04 周一,9°,6°,小雨~多云,西南风1级,-
2023-12-05 周二,16°,6°,多云,西南风1级,-
2023-12-06 周三,18°,7°,阴~晴,西南风3级,-
2023-12-07 周四,21°,6°,晴,西南风2级,-
2023-12-08 周五,22°,11°,晴~小雨,西南风1级,-
2023-12-09 周六,19°,12°,阴~小雨,东北风1级,-
2023-12-10 周日,20°,14°,阴~小雨,东北风1级,-
2023-12-11 周一,18°,8°,小雨,西北风1级,-
2023-12-12 周二,9°,5°,阴,东北风2级,-
2023-12-13 周三,15°,9°,阴~晴,东北风2级,-
2023-12-14 周四,23°,15°,多云~晴,西南风微风,-
2023-12-15 周五,16°,2°,小雨,东北风1级,-
2023-12-16 周六,5°,0°,小雨~阴,东北风1级,-
2023-12-17 周日,2°,0°,阴~小雨,东北风3级,-
2023-12-18 周一,3°,0°,小雨,东北风2级,-
2023-12-19 周二,4°,2°,阴,西南风1级,-
2023-12-20 周三,6°,-2°,阴~晴,东北风2级,-
2023-12-21 周四,4°,-5°,晴,东北风2级,-
2023-12-22 周五,3°,-5°,晴~多云,东北风3级,-
2023-12-23 周六,7°,-2°,晴,东北风2级,-
2023-12-24 周日,10°,-2°,晴,南风1级,-
2023-12-25 周一,11°,-1°,晴~多云,东北风2级,-
2023-12-26 周二,13°,2°,阴~晴,东北风1级,-
2023-12-27 周三,16°,3°,晴,东风1级,-
2023-12-28 周四,16°,4°,晴,东北风2级,-
2023-12-29 周五,16°,6°,晴~多云,东北风2级,-
2023-12-30 周六,20°,6°,阴~晴,西南风2级,-
2023-12-31 周日,17°,2°,晴,东北风2级,97 良
