日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,7°,1°,多云,东北风2级,116 轻度
2024-03-02 周六,13°,4°,多云,南风2级,117 轻度
2024-03-03 周日,11°,7°,雾~多云,东南风4级,63 良
2024-03-04 周一,8°,6°,阴~多云,东北风2级,65 良
2024-03-05 周二,11°,5°,多云~小雨,北风3级,129 轻度
2024-03-06 周三,12°,4°,多云~晴,东北风2级,105 轻度
2024-03-07 周四,17°,5°,雾~多云,西北风3级,102 轻度
2024-03-08 周五,16°,7°,多云,东风2级,79 良
2024-03-09 周六,17°,6°,多云,东南风2级,84 良
2024-03-10 周日,17°,8°,阴~多云,东南风2级,99 良
2024-03-11 周一,23°,9°,晴,西南风1级,84 良
2024-03-12 周二,18°,8°,多云~小雨,东北风3级,82 良
2024-03-13 周三,11°,7°,雾~多云,西北风1级,99 良
2024-03-14 周四,19°,10°,雾~多云,东北风1级,97 良
2024-03-15 周五,19°,12°,阴~晴,东南风3级,80 良
2024-03-16 周六,21°,14°,多云~晴,北风1级,86 良
2024-03-17 周日,16°,9°,多云~小雨,东北风3级,106 轻度
2024-03-18 周一,12°,8°,小雨~多云,西北风3级,61 良
2024-03-19 周二,19°,8°,多云~晴,北风2级,104 轻度
2024-03-20 周三,22°,11°,多云,东南风3级,117 轻度
2024-03-21 周四,23°,11°,多云~晴,东南风4级,90 良
2024-03-22 周五,23°,17°,多云~中雨,东南风2级,72 良
2024-03-23 周六,16°,11°,大雨~多云,西北风3级,61 良
2024-03-24 周日,12°,8°,雾~小雨,东北风3级,66 良
2024-03-25 周一,13°,7°,小雨~阴,东北风3级,47 优
2024-03-26 周二,18°,11°,雾~小雨,东南风3级,63 良
2024-03-27 周三,16°,13°,雾~多云,西南风1级,63 良
2024-03-28 周四,26°,13°,多云~晴,西风1级,99 良
2024-03-29 周五,27°,15°,晴~多云,东南风2级,53 良
2024-03-30 周六,25°,14°,阴~多云,东北风3级,73 良
2024-03-31 周日,27°,17°,晴,东南风1级,95 良
