日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,12°,2°,晴,东风1级,28 优
2024-10-02 周三,16°,4°,雾~晴,东风1级,39 优
2024-10-03 周四,17°,4°,雾~多云,东北风1级,48 优
2024-10-04 周五,19°,7°,雾~多云,东风1级,45 优
2024-10-05 周六,11°,7°,小雨,东南风2级,45 优
2024-10-06 周日,10°,6°,阴~晴,东南风2级,45 优
2024-10-07 周一,16°,6°,雾~小雨,东风1级,50 优
2024-10-08 周二,18°,6°,晴~多云,西北风2级,53 良
2024-10-09 周三,6°,3°,小雨,东南风2级,39 优
2024-10-10 周四,15°,2°,雾~多云,东北风1级,40 优
2024-10-11 周五,14°,3°,雾~小雨,东南风2级,49 优
2024-10-12 周六,18°,4°,雾~晴,西北风3级,36 优
2024-10-13 周日,20°,2°,晴,东北风1级,42 优
2024-10-14 周一,20°,4°,晴,东北风1级,54 良
2024-10-15 周二,16°,6°,雾~中雨,东北风1级,55 良
2024-10-16 周三,13°,2°,小雨~晴,西风1级,31 优
2024-10-17 周四,17°,2°,雾~晴,北风1级,41 优
2024-10-18 周五,13°,3°,阴~多云,东风1级,47 优
2024-10-19 周六,7°,1°,小雨~晴,东北风1级,47 优
2024-10-20 周日,15°,0°,雾~晴,西南风2级,48 优
2024-10-21 周一,14°,-2°,晴,西风4级,61 良
2024-10-22 周二,15°,0°,晴,东北风1级,39 优
2024-10-23 周三,17°,2°,晴,东北风1级,57 良
2024-10-24 周四,18°,3°,多云,西北风1级,60 良
2024-10-25 周五,6°,1°,小雨~雨夹雪,东南风2级,56 良
2024-10-26 周六,7°,-2°,雨夹雪~阴,东南风1级,41 优
2024-10-27 周日,13°,-1°,雾~晴,北风1级,45 优
2024-10-28 周一,14°,1°,多云~晴,东北风1级,51 良
2024-10-29 周二,11°,2°,雾~多云,东北风1级,67 良
2024-10-30 周三,12°,1°,雾~雨夹雪,东南风1级,66 良
2024-10-31 周四,9°,0°,雾~多云,西北风1级,46 优
