日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,5°,-4°,多云,西南风2级,113 轻度
2024-01-02 周二,12°,-5°,晴,西风2级,122 轻度
2024-01-03 周三,8°,-5°,晴,东北风2级,78 良
2024-01-04 周四,10°,-4°,晴~多云,西南风1级,101 轻度
2024-01-05 周五,9°,-4°,多云,西南风1级,132 轻度
2024-01-06 周六,7°,-4°,多云,东北风3级,81 良
2024-01-07 周日,5°,-2°,晴,东北风2级,68 良
2024-01-08 周一,9°,-2°,多云,东北风1级,125 轻度
2024-01-09 周二,16°,-4°,多云~晴,西风1级,127 轻度
2024-01-10 周三,9°,-4°,多云~晴,东北风1级,87 良
2024-01-11 周四,15°,-2°,多云~晴,西南风1级,144 轻度
2024-01-12 周五,12°,-2°,多云~雾,东北风2级,205 重度
2024-01-13 周六,12°,-2°,多云,西南风1级,243 重度
2024-01-14 周日,12°,0°,多云,东北风2级,169 中度
2024-01-15 周一,3°,-1°,多云~阴,东北风2级,112 轻度
2024-01-16 周二,1°,-3°,雾~小雨,东北风1级,88 良
2024-01-17 周三,2°,-2°,雾~阴,北风1级,125 轻度
2024-01-18 周四,1°,0°,雾~阴,东北风2级,164 中度
2024-01-19 周五,1°,-2°,雾~阴,东北风2级,101 轻度
2024-01-20 周六,6°,-1°,多云~雨夹雪,东北风1级,114 轻度
2024-01-21 周日,1°,-8°,阴~多云,东北风3级,58 良
2024-01-22 周一,-1°,-8°,晴~多云,东北风2级,20 优
2024-01-23 周二,1°,-7°,阴~多云,西南风2级,32 优
2024-01-24 周三,3°,-6°,雾~多云,西南风2级,74 良
2024-01-25 周四,4°,-4°,多云~阴,西南风1级,81 良
2024-01-26 周五,6°,-5°,晴~多云,西风1级,93 良
2024-01-27 周六,8°,-3°,多云,东风微风,108 轻度
2024-01-28 周日,6°,-4°,多云~晴,东北风2级,110 轻度
2024-01-29 周一,7°,-4°,多云,东北风2级,134 轻度
2024-01-30 周二,12°,-2°,多云~晴,东北风1级,205 重度
2024-01-31 周三,4°,0°,多云~雨夹雪,东北风1级,237 重度
