日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,31°,27°,多云,东南风5级,null
2024-04-02 周二,29°,27°,多云,南风5级,null
2024-04-03 周三,30°,27°,多云~晴,南风5级,null
2024-04-04 周四,30°,27°,多云,南风4级,null
2024-04-05 周五,30°,27°,多云,东南风4级,null
2024-04-06 周六,30°,27°,多云,东南风4级,null
2024-04-07 周日,30°,27°,多云,东南风4级,null
2024-04-08 周一,31°,27°,多云~晴,东南风3级,null
2024-04-09 周二,28°,27°,阴~多云,东风3级,null
2024-04-10 周三,28°,26°,小雨~多云,东风4级,null
2024-04-11 周四,28°,27°,小雨~多云,东北风4级,null
2024-04-12 周五,30°,27°,雾~晴,东北风3级,null
2024-04-13 周六,31°,27°,雾~多云,东南风3级,null
2024-04-14 周日,31°,27°,多云,东南风4级,null
2024-04-15 周一,32°,27°,多云,东南风3级,null
2024-04-16 周二,32°,27°,多云~晴,东南风3级,null
2024-04-17 周三,32°,27°,多云~晴,东南风4级,null
2024-04-18 周四,32°,27°,阴~多云,东南风4级,null
2024-04-19 周五,30°,27°,多云,东南风4级,null
2024-04-20 周六,31°,27°,多云,南风5级,null
2024-04-21 周日,31°,28°,阴~多云,东南风5级,null
2024-04-22 周一,32°,28°,多云,东南风4级,null
2024-04-23 周二,32°,28°,多云,南风4级,null
2024-04-24 周三,32°,28°,多云,南风4级,null
2024-04-25 周四,33°,28°,多云,南风4级,null
2024-04-26 周五,33°,28°,多云,南风5级,null
2024-04-27 周六,33°,29°,多云,南风5级,null
2024-04-28 周日,33°,28°,多云,南风5级,null
2024-04-29 周一,32°,28°,多云,南风4级,null
2024-04-30 周二,33°,28°,多云,南风5级,null
