日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,26°,13°,多云~小雨,东南风3级,100 良
2024-04-02 周二,14°,13°,小雨,东北风4级,133 轻度
2024-04-03 周三,15°,8°,阴,东北风4级,74 良
2024-04-04 周四,13°,5°,阴,东北风3级,44 优
2024-04-05 周五,18°,9°,雾~多云,东南风1级,66 良
2024-04-06 周六,20°,10°,阴,南风2级,47 优
2024-04-07 周日,21°,8°,雾~多云,东南风2级,57 良
2024-04-08 周一,24°,11°,雾~阴,东南风2级,69 良
2024-04-09 周二,22°,13°,雾~多云,东风2级,75 良
2024-04-10 周三,24°,11°,多云,西南风2级,65 良
2024-04-11 周四,23°,12°,雾~晴,南风2级,62 良
2024-04-12 周五,24°,14°,雾~多云,南风3级,63 良
2024-04-13 周六,24°,14°,雾~小雨,东南风4级,77 良
2024-04-14 周日,21°,15°,中雨~晴,东北风2级,49 优
2024-04-15 周一,26°,15°,雾~阴,西北风1级,56 良
2024-04-16 周二,24°,13°,雾~阴,东北风3级,66 良
2024-04-17 周三,24°,10°,雾~晴,东南风1级,75 良
2024-04-18 周四,25°,14°,阴,东南风3级,66 良
2024-04-19 周五,18°,12°,小雨~多云,西北风3级,75 良
2024-04-20 周六,22°,13°,多云~阴,东北风2级,91 良
2024-04-21 周日,24°,13°,多云,东风1级,93 良
2024-04-22 周一,25°,15°,多云,南风3级,95 良
2024-04-23 周二,25°,10°,阴~晴,西北风4级,93 良
2024-04-24 周三,26°,14°,阴,西南风3级,91 良
2024-04-25 周四,28°,13°,多云~晴,西南风3级,79 良
2024-04-26 周五,28°,16°,雾~多云,南风3级,68 良
2024-04-27 周六,28°,19°,雾~阴,东南风3级,74 良
2024-04-28 周日,23°,15°,雾~多云,东北风4级,62 良
2024-04-29 周一,22°,12°,阴~小雨,东北风3级,70 良
2024-04-30 周二,19°,7°,阴~晴,东北风3级,65 良
