日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,23°,18°,阴,东南风2级,46 优
2024-02-02 周五,25°,18°,雾~阴,东南风2级,47 优
2024-02-03 周六,23°,12°,阴~小雨,东风2级,48 优
2024-02-04 周日,12°,8°,雾~小雨,北风2级,25 优
2024-02-05 周一,10°,8°,阴~小雨,东北风2级,18 优
2024-02-06 周二,8°,5°,小雨,北风2级,16 优
2024-02-07 周三,7°,5°,阴~小雨,北风3级,14 优
2024-02-08 周四,8°,7°,阴,北风3级,26 优
2024-02-09 周五,12°,7°,多云~晴,北风2级,44 优
2024-02-10 周六,18°,8°,多云~晴,北风2级,131 轻度
2024-02-11 周日,23°,10°,多云~晴,东北风2级,82 良
2024-02-12 周一,24°,13°,多云,东南风2级,82 良
2024-02-13 周二,22°,16°,阴~多云,东南风2级,74 良
2024-02-14 周三,23°,17°,阴,东南风3级,66 良
2024-02-15 周四,25°,13°,小雨~多云,西北风1级,47 优
2024-02-16 周五,22°,15°,阴~多云,北风2级,27 优
2024-02-17 周六,21°,17°,阴,南风3级,84 良
2024-02-18 周日,24°,20°,阴,南风3级,67 良
2024-02-19 周一,29°,21°,阴~多云,南风3级,57 良
2024-02-20 周二,27°,22°,阴~多云,南风4级,55 良
2024-02-21 周三,29°,13°,阴~小雨,西南风4级,74 良
2024-02-22 周四,18°,6°,小雨,北风3级,27 优
2024-02-23 周五,6°,5°,小雨~阴,北风3级,13 优
2024-02-24 周六,7°,4°,小雨,北风3级,11 优
2024-02-25 周日,7°,6°,阴~小雨,北风2级,14 优
2024-02-26 周一,7°,6°,小雨,北风2级,11 优
2024-02-27 周二,10°,6°,小雨,北风2级,14 优
2024-02-28 周三,10°,7°,小雨,东北风2级,12 优
2024-02-29 周四,10°,7°,小雨~阴,西北风3级,14 优
