日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,17°,12°,多云,北风3级,38 优
2024-11-02 周六,20°,10°,多云~晴,东北风2级,26 优
2024-11-03 周日,24°,14°,多云~阴,东北风1级,52 良
2024-11-04 周一,16°,12°,多云~阴,北风3级,51 良
2024-11-05 周二,17°,9°,多云~晴,东北风2级,43 优
2024-11-06 周三,19°,10°,多云,东北风2级,50 优
2024-11-07 周四,20°,12°,多云~阴,东北风2级,52 良
2024-11-08 周五,19°,12°,阴~小雨,东北风1级,45 优
2024-11-09 周六,22°,10°,小雨~多云,南风1级,48 优
2024-11-10 周日,23°,12°,阴~多云,东南风2级,37 优
2024-11-11 周一,23°,15°,多云~阴,东南风2级,33 优
2024-11-12 周二,25°,17°,多云,南风3级,32 优
2024-11-13 周三,25°,17°,阴~多云,南风3级,36 优
2024-11-14 周四,26°,16°,多云~阴,南风3级,44 优
2024-11-15 周五,25°,16°,多云~阴,南风3级,44 优
2024-11-16 周六,25°,12°,多云~小雨,东南风3级,45 优
2024-11-17 周日,21°,9°,多云~小雨,东北风2级,40 优
2024-11-18 周一,9°,7°,雾~小雨,东北风2级,14 优
2024-11-19 周二,8°,6°,雾~小雨,东北风2级,12 优
2024-11-20 周三,9°,7°,小雨,东北风2级,15 优
2024-11-21 周四,8°,7°,小雨,东北风2级,18 优
2024-11-22 周五,12°,8°,阴,东北风2级,29 优
2024-11-23 周六,11°,10°,多云~小雨,东南风2级,31 优
2024-11-24 周日,13°,7°,多云~中雨,东南风3级,34 优
2024-11-25 周一,9°,5°,小雨,北风3级,9 优
2024-11-26 周二,12°,5°,小雨,东北风1级,23 优
2024-11-27 周三,9°,5°,多云~阴,北风3级,27 优
2024-11-28 周四,13°,6°,多云~阴,北风2级,29 优
2024-11-29 周五,15°,7°,阴,东北风1级,41 优
2024-11-30 周六,15°,7°,晴~多云,南风1级,43 优
