日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,26°,18°,多云,西北风3级,47 优
2024-10-02 周三,26°,17°,多云,北风3级,45 优
2024-10-03 周四,28°,17°,晴,北风2级,55 良
2024-10-04 周五,29°,18°,多云~晴,西北风2级,51 良
2024-10-05 周六,30°,17°,晴,西北风2级,50 优
2024-10-06 周日,30°,21°,多云~晴,西北风2级,56 良
2024-10-07 周一,30°,21°,阴~晴,西北风2级,66 良
2024-10-08 周二,28°,20°,晴~多云,西北风2级,47 优
2024-10-09 周三,28°,19°,晴~多云,西北风2级,43 优
2024-10-10 周四,28°,18°,多云,西北风2级,47 优
2024-10-11 周五,31°,19°,晴,西北风1级,56 良
2024-10-12 周六,32°,20°,多云~晴,西北风1级,48 优
2024-10-13 周日,31°,22°,阴~多云,西南风1级,59 良
2024-10-14 周一,32°,21°,多云~阵雨,西南风1级,67 良
2024-10-15 周二,29°,21°,小雨~阵雨,西北风1级,29 优
2024-10-16 周三,29°,22°,多云,西北风1级,39 优
2024-10-17 周四,31°,22°,多云,东南风1级,43 优
2024-10-18 周五,29°,22°,中雨,东南风1级,48 优
2024-10-19 周六,30°,20°,雾~多云,西北风2级,36 优
2024-10-20 周日,26°,18°,多云,西北风2级,25 优
2024-10-21 周一,28°,19°,多云,西北风1级,35 优
2024-10-22 周二,27°,17°,多云,西北风3级,37 优
2024-10-23 周三,25°,14°,晴,西北风3级,34 优
2024-10-24 周四,26°,14°,晴,西北风2级,42 优
2024-10-25 周五,28°,17°,晴,西北风3级,48 优
2024-10-26 周六,27°,19°,阴~小雨,北风3级,55 良
2024-10-27 周日,23°,17°,阴~多云,西北风3级,35 优
2024-10-28 周一,24°,17°,多云,西北风3级,34 优
2024-10-29 周二,23°,18°,多云~晴,北风1级,49 优
2024-10-30 周三,26°,16°,阴~晴,西北风2级,52 良
2024-10-31 周四,28°,16°,晴,西北风3级,53 良
