日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,35°,25°,多云~晴,东南风2级,44 优
2024-08-02 周五,37°,26°,阴,东南风2级,43 优
2024-08-03 周六,35°,24°,阴~暴雨,东南风1级,32 优
2024-08-04 周日,27°,24°,阴~阵雨,西南风1级,29 优
2024-08-05 周一,33°,26°,雾~晴,东南风1级,32 优
2024-08-06 周二,36°,25°,阴,东南风2级,41 优
2024-08-07 周三,36°,27°,阴~阵雨,东南风2级,42 优
2024-08-08 周四,37°,26°,阴,东南风2级,40 优
2024-08-09 周五,36°,23°,阴~中雨,东北风3级,43 优
2024-08-10 周六,29°,22°,阴,西北风3级,35 优
2024-08-11 周日,35°,23°,雾~晴,西南风1级,44 优
2024-08-12 周一,36°,23°,晴,东南风1级,57 良
2024-08-13 周二,37°,25°,晴,南风1级,57 良
2024-08-14 周三,37°,25°,多云,东北风1级,60 良
2024-08-15 周四,35°,24°,阴~多云,北风2级,51 良
2024-08-16 周五,37°,24°,阴~多云,西风1级,41 优
2024-08-17 周六,36°,23°,小雨~多云,东北风1级,45 优
2024-08-18 周日,32°,23°,阴~晴,西南风1级,39 优
2024-08-19 周一,36°,25°,雾~晴,东南风1级,53 良
2024-08-20 周二,37°,25°,阴~晴,东南风1级,53 良
2024-08-21 周三,39°,26°,阴~晴,东风1级,57 良
2024-08-22 周四,39°,27°,多云~晴,东南风1级,72 良
2024-08-23 周五,39°,27°,阴~多云,东南风1级,58 良
2024-08-24 周六,39°,26°,阴~晴,东南风1级,54 良
2024-08-25 周日,39°,27°,阴,东南风2级,49 优
2024-08-26 周一,41°,29°,阴~多云,北风1级,41 优
2024-08-27 周二,40°,27°,多云,北风1级,45 优
2024-08-28 周三,40°,26°,阴~晴,东北风1级,71 良
2024-08-29 周四,38°,26°,阴,东北风2级,48 优
2024-08-30 周五,36°,26°,阴~阵雨,东风2级,46 优
2024-08-31 周六,35°,26°,阴~晴,东北风2级,54 良
