日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,20°,17°,阴,北风4级,30 优
2024-11-02 周六,25°,16°,阴~多云,北风3级,42 优
2024-11-03 周日,26°,18°,阴~多云,北风2级,43 优
2024-11-04 周一,23°,17°,阴,北风3级,46 优
2024-11-05 周二,25°,13°,阴~晴,北风3级,59 良
2024-11-06 周三,24°,13°,多云,北风3级,52 良
2024-11-07 周四,23°,12°,晴~多云,北风3级,43 优
2024-11-08 周五,24°,13°,晴~多云,北风2级,44 优
2024-11-09 周六,25°,16°,多云~阴,东北风2级,48 优
2024-11-10 周日,24°,18°,阴~多云,北风2级,46 优
2024-11-11 周一,25°,19°,多云,北风2级,33 优
2024-11-12 周二,27°,18°,多云,北风2级,42 优
2024-11-13 周三,28°,21°,阴,东北风1级,53 良
2024-11-14 周四,28°,21°,阴~小雨,西北风1级,42 优
2024-11-15 周五,22°,21°,暴雨~小雨,北风1级,31 优
2024-11-16 周六,25°,19°,阴,北风2级,19 优
2024-11-17 周日,24°,15°,阴,北风3级,32 优
2024-11-18 周一,15°,14°,阴,北风3级,19 优
2024-11-19 周二,14°,13°,阴,北风3级,31 优
2024-11-20 周三,14°,13°,小雨,北风2级,41 优
2024-11-21 周四,16°,13°,阴,北风3级,42 优
2024-11-22 周五,15°,12°,阴,北风3级,36 优
2024-11-23 周六,16°,12°,阴,北风2级,37 优
2024-11-24 周日,20°,14°,阴,东北风1级,49 优
2024-11-25 周一,22°,12°,阴~小雨,北风1级,49 优
2024-11-26 周二,16°,8°,多云,东北风3级,27 优
2024-11-27 周三,18°,7°,多云,东北风3级,36 优
2024-11-28 周四,18°,7°,阴~多云,东北风3级,38 优
2024-11-29 周五,18°,6°,晴~多云,东北风2级,41 优
2024-11-30 周六,18°,7°,阴~多云,西南风1级,51 良
