日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,15°,2°,晴~多云,东风1级,46 优
2024-11-02 周六,15°,5°,阴~小雨,西南风2级,41 优
2024-11-03 周日,12°,-3°,阴~晴,西北风4级,25 优
2024-11-04 周一,6°,-5°,多云~晴,西北风2级,24 优
2024-11-05 周二,7°,-4°,晴~多云,西北风3级,27 优
2024-11-06 周三,11°,-1°,晴,西南风2级,40 优
2024-11-07 周四,14°,-3°,晴~多云,西南风1级,63 良
2024-11-08 周五,10°,2°,多云,东南风1级,111 轻度
2024-11-09 周六,13°,6°,多云,西南风3级,85 良
2024-11-10 周日,14°,-1°,阴~多云,北风2级,44 优
2024-11-11 周一,14°,-3°,阴~晴,西南风3级,40 优
2024-11-12 周二,13°,4°,晴~多云,西南风1级,53 良
2024-11-13 周三,11°,5°,多云~阴,西南风2级,56 良
2024-11-14 周四,16°,0°,雾~晴,西风1级,50 优
2024-11-15 周五,13°,0°,多云,西南风2级,45 优
2024-11-16 周六,6°,-6°,阴~晴,西北风4级,24 优
2024-11-17 周日,2°,-9°,晴,西北风4级,21 优
2024-11-18 周一,0°,-3°,晴~多云,东南风2级,38 优
2024-11-19 周二,8°,-4°,多云~晴,西南风3级,42 优
2024-11-20 周三,10°,-3°,晴,西南风3级,38 优
2024-11-21 周四,6°,-5°,晴,西北风3级,26 优
2024-11-22 周五,3°,-4°,阴~晴,东风2级,32 优
2024-11-23 周六,6°,-2°,晴,西南风3级,47 优
2024-11-24 周日,8°,0°,多云~雨夹雪,西南风2级,68 良
2024-11-25 周一,3°,-10°,阴~晴,西北风3级,46 优
2024-11-26 周二,-7°,-12°,阴~晴,西北风5级,30 优
2024-11-27 周三,-5°,-9°,阴~多云,西北风5级,37 优
2024-11-28 周四,-1°,-6°,阴~多云,西北风5级,25 优
2024-11-29 周五,5°,-1°,多云~晴,西北风4级,21 优
2024-11-30 周六,8°,-3°,晴,西风2级,26 优
