日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,-5°,-15°,雾~晴,西南风3级,-
2023-12-02 周六,-2°,-15°,阴~晴,西南风3级,-
2023-12-03 周日,1°,-9°,雾~晴,南风2级,-
2023-12-04 周一,4°,-11°,多云~晴,西南风3级,-
2023-12-05 周二,8°,-3°,多云,南风3级,-
2023-12-06 周三,2°,-12°,雾~晴,西北风3级,-
2023-12-07 周四,1°,-5°,阴~多云,西南风2级,-
2023-12-08 周五,11°,-12°,阴~晴,西南风4级,-
2023-12-09 周六,-5°,-18°,阴~晴,西北风3级,-
2023-12-10 周日,-10°,-17°,多云,北风2级,-
2023-12-11 周一,-10°,-22°,阴~晴,东北风4级,-
2023-12-12 周二,-9°,-20°,晴,东北风2级,-
2023-12-13 周三,-6°,-16°,阴~多云,东北风3级,-
2023-12-14 周四,-9°,-18°,多云~中雪,东北风4级,-
2023-12-15 周五,-14°,-21°,阴~小雪,东北风4级,-
2023-12-16 周六,-16°,-28°,小雪~晴,西北风3级,-
2023-12-17 周日,-16°,-28°,阴~晴,西风3级,-
2023-12-18 周一,-12°,-25°,多云,西南风2级,-
2023-12-19 周二,-14°,-27°,多云~晴,西北风2级,-
2023-12-20 周三,-19°,-26°,阴~晴,西风2级,-
2023-12-21 周四,-18°,-26°,阴~晴,西南风3级,-
2023-12-22 周五,-13°,-26°,阴~晴,西南风3级,-
2023-12-23 周六,-7°,-22°,多云~晴,西南风2级,-
2023-12-24 周日,-6°,-20°,多云~晴,西南风3级,-
2023-12-25 周一,-5°,-14°,多云,西南风3级,-
2023-12-26 周二,-5°,-18°,阴~晴,西北风2级,-
2023-12-27 周三,-3°,-16°,多云,南风2级,-
2023-12-28 周四,-1°,-14°,多云~晴,西南风2级,-
2023-12-29 周五,1°,-10°,多云,西南风2级,-
2023-12-30 周六,-2°,-12°,中雪~小雪,东南风2级,-
2023-12-31 周日,-7°,-19°,晴,北风3级,73 良
