日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,19°,5°,多云~晴,东北风3级,84 良
2024-11-02 周六,19°,8°,晴~多云,北风1级,98 良
2024-11-03 周日,20°,2°,中雨~雨夹雪,西南风2级,57 良
2024-11-04 周一,9°,-3°,阴~晴,北风3级,32 优
2024-11-05 周二,10°,-3°,晴,西北风2级,32 优
2024-11-06 周三,7°,-2°,晴,东北风1级,48 优
2024-11-07 周四,15°,7°,晴~多云,南风2级,38 优
2024-11-08 周五,17°,8°,多云~晴,南风3级,47 优
2024-11-09 周六,19°,10°,多云~阵雨,西南风3级,46 优
2024-11-10 周日,15°,0°,小雨~晴,西北风2级,41 优
2024-11-11 周一,15°,2°,阴~晴,西南风2级,55 良
2024-11-12 周二,14°,1°,雾~多云,东北风2级,52 良
2024-11-13 周三,17°,8°,多云~中雨,南风2级,34 优
2024-11-14 周四,11°,8°,中雨~多云,东南风2级,22 优
2024-11-15 周五,17°,9°,雾~小雨,西南风1级,38 优
2024-11-16 周六,10°,-5°,阴~晴,北风4级,26 优
2024-11-17 周日,5°,-8°,晴,西北风3级,26 优
2024-11-18 周一,0°,-7°,晴,东北风3级,26 优
2024-11-19 周二,8°,0°,阴~晴,南风3级,31 优
2024-11-20 周三,10°,-2°,晴,西南风1级,82 良
2024-11-21 周四,10°,-4°,晴,西北风2级,57 良
2024-11-22 周五,5°,-7°,晴,东北风3级,52 良
2024-11-23 周六,6°,-2°,多云~晴,东北风1级,84 良
2024-11-24 周日,9°,5°,阴~多云,东南风2级,50 优
2024-11-25 周一,10°,-5°,小雨~小雪,东南风3级,43 优
2024-11-26 周二,-3°,-10°,阴~多云,西北风3级,26 优
2024-11-27 周三,-3°,-7°,阴~多云,西风4级,32 优
2024-11-28 周四,0°,-7°,阴~晴,西北风3级,41 优
2024-11-29 周五,3°,-4°,阴~晴,西风2级,47 优
2024-11-30 周六,7°,-3°,阴~晴,西南风1级,55 良
