日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,30°,23°,阴~晴,北风1级,33 优
2024-07-02 周二,33°,24°,多云,东南风1级,33 优
2024-07-03 周三,32°,23°,小雨~阵雨,东北风1级,33 优
2024-07-04 周四,28°,24°,阴~中雨,东南风1级,29 优
2024-07-05 周五,28°,23°,大雨~多云,东南风1级,20 优
2024-07-06 周六,33°,25°,多云~阴,东南风1级,25 优
2024-07-07 周日,33°,26°,阴~阵雨,东南风1级,30 优
2024-07-08 周一,27°,25°,暴雨~阵雨,东风1级,19 优
2024-07-09 周二,26°,24°,小雨~阵雨,东南风1级,20 优
2024-07-10 周三,26°,23°,大暴雨~暴雨,东北风2级,17 优
2024-07-11 周四,26°,23°,暴雨~阵雨,东北风1级,14 优
2024-07-12 周五,33°,24°,阴~阵雨,东南风1级,31 优
2024-07-13 周六,33°,25°,大雨~阵雨,东南风1级,20 优
2024-07-14 周日,26°,24°,中雨~阵雨,东北风2级,16 优
2024-07-15 周一,35°,26°,阴~多云,东南风1级,26 优
2024-07-16 周二,36°,26°,阴,东南风2级,28 优
2024-07-17 周三,35°,27°,小雨~阴,东北风1级,30 优
2024-07-18 周四,29°,26°,小雨~阴,东北风1级,24 优
2024-07-19 周五,30°,26°,阴~多云,东南风2级,25 优
2024-07-20 周六,31°,26°,阴~多云,东南风1级,27 优
2024-07-21 周日,37°,27°,多云,东南风2级,28 优
2024-07-22 周一,38°,26°,阴,东南风2级,29 优
2024-07-23 周二,37°,27°,小雨~阴,东南风2级,31 优
2024-07-24 周三,38°,27°,阴,东北风1级,32 优
2024-07-25 周四,36°,27°,阴~多云,西风1级,41 优
2024-07-26 周五,37°,27°,阴~多云,西南风微风,52 良
2024-07-27 周六,37°,28°,多云~阵雨,西北风1级,41 优
2024-07-28 周日,34°,25°,阴~多云,西南风2级,45 优
2024-07-29 周一,29°,24°,阴~大雨,西南风1级,40 优
2024-07-30 周二,30°,23°,小雨~阴,东南风1级,18 优
2024-07-31 周三,34°,24°,阴~晴,东南风1级,26 优
