日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,36°,26°,雾~晴,西南风1级,43 优
2024-08-02 周五,35°,26°,雾~晴,东南风3级,38 优
2024-08-03 周六,34°,24°,大雨~中雨,东南风2级,33 优
2024-08-04 周日,29°,24°,中雨~晴,东南风2级,25 优
2024-08-05 周一,35°,25°,雾~晴,东南风1级,37 优
2024-08-06 周二,35°,26°,雾~多云,东南风3级,39 优
2024-08-07 周三,32°,25°,阴~中雨,东南风3级,31 优
2024-08-08 周四,32°,27°,雾~阴,东南风3级,34 优
2024-08-09 周五,29°,22°,中雨~多云,西南风2级,38 优
2024-08-10 周六,32°,21°,多云~晴,西风4级,145 轻度
2024-08-11 周日,33°,20°,晴,西北风4级,65 良
2024-08-12 周一,34°,22°,晴,西北风3级,40 优
2024-08-13 周二,34°,23°,晴,东南风1级,49 优
2024-08-14 周三,33°,23°,阴~晴,东南风3级,46 优
2024-08-15 周四,33°,22°,雾~小雨,东南风1级,44 优
2024-08-16 周五,31°,24°,雾~多云,西北风1级,48 优
2024-08-17 周六,29°,22°,小雨~雷阵雨,东南风2级,46 优
2024-08-18 周日,31°,22°,雾~晴,西北风1级,43 优
2024-08-19 周一,33°,23°,晴,西风1级,40 优
2024-08-20 周二,32°,21°,中雨~晴,东南风2级,43 优
2024-08-21 周三,31°,22°,小雨~晴,西北风1级,28 优
2024-08-22 周四,34°,23°,雾~晴,东北风1级,45 优
2024-08-23 周五,36°,26°,多云~晴,东南风3级,49 优
2024-08-24 周六,35°,26°,多云,东南风4级,50 优
2024-08-25 周日,35°,25°,阴~小雨,东南风4级,44 优
2024-08-26 周一,31°,21°,阴~多云,西北风3级,32 优
2024-08-27 周二,32°,20°,阴~晴,东北风1级,35 优
2024-08-28 周三,32°,20°,晴,东南风3级,42 优
2024-08-29 周四,32°,23°,多云~晴,东南风3级,43 优
2024-08-30 周五,34°,24°,多云~晴,东南风3级,38 优
2024-08-31 周六,35°,25°,多云~晴,东南风3级,39 优
