日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,23°,11°,多云~阴,东北风2级,51 良
2024-05-02 周四,25°,9°,多云,东风2级,48 优
2024-05-03 周五,22°,13°,雾~阴,东南风3级,42 优
2024-05-04 周六,21°,15°,小雨,东风2级,41 优
2024-05-05 周日,16°,12°,阴,西北风2级,42 优
2024-05-06 周一,23°,12°,多云~晴,西北风2级,78 良
2024-05-07 周二,27°,13°,阴~晴,北风2级,92 良
2024-05-08 周三,24°,10°,晴~多云,东北风2级,52 良
2024-05-09 周四,25°,12°,多云~晴,南风3级,54 良
2024-05-10 周五,28°,19°,晴~中雨,南风3级,57 良
2024-05-11 周六,20°,10°,中雨~多云,东北风3级,181 中度
2024-05-12 周日,27°,12°,多云~晴,北风1级,138 轻度
2024-05-13 周一,28°,16°,多云~晴,东南风2级,110 轻度
2024-05-14 周二,28°,15°,晴~小雨,西南风3级,90 良
2024-05-15 周三,24°,12°,阴~晴,东北风4级,83 良
2024-05-16 周四,27°,14°,阴~小雨,西南风4级,51 良
2024-05-17 周五,30°,20°,多云~晴,西南风3级,65 良
2024-05-18 周六,32°,20°,晴,东南风3级,72 良
2024-05-19 周日,29°,17°,阴~晴,东南风3级,41 优
2024-05-20 周一,24°,16°,多云~阴,东北风3级,33 优
2024-05-21 周二,26°,16°,阴~多云,东风3级,28 优
2024-05-22 周三,28°,18°,多云~晴,东南风3级,36 优
2024-05-23 周四,30°,17°,雾~晴,东南风2级,53 良
2024-05-24 周五,29°,17°,晴,东北风3级,35 优
2024-05-25 周六,28°,20°,多云~雷阵雨,东南风4级,36 优
2024-05-26 周日,27°,17°,中雨~阴,东北风2级,50 优
2024-05-27 周一,27°,13°,阴~晴,东北风3级,40 优
2024-05-28 周二,29°,15°,阴,东北风2级,47 优
2024-05-29 周三,30°,19°,阴,东南风3级,41 优
2024-05-30 周四,22°,15°,阴~晴,东南风2级,40 优
2024-05-31 周五,33°,17°,晴~多云,西北风1级,75 良
