日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,11°,1°,阴~晴,西北风2级,15 优
2024-10-02 周三,15°,1°,晴,西南风2级,18 优
2024-10-03 周四,18°,2°,多云~晴,西南风1级,32 优
2024-10-04 周五,19°,5°,多云,西南风2级,32 优
2024-10-05 周六,20°,7°,多云,西南风2级,34 优
2024-10-06 周日,15°,4°,阴~小雨,西北风1级,48 优
2024-10-07 周一,15°,1°,阴~晴,北风2级,25 优
2024-10-08 周二,19°,2°,多云~晴,东北风1级,36 优
2024-10-09 周三,19°,7°,晴~小雨,西南风2级,36 优
2024-10-10 周四,15°,1°,阴~晴,西风1级,36 优
2024-10-11 周五,19°,4°,多云~晴,西南风2级,37 优
2024-10-12 周六,21°,5°,雾~晴,西南风1级,48 优
2024-10-13 周日,24°,10°,多云,西南风1级,44 优
2024-10-14 周一,20°,6°,阴~小雨,西南风3级,35 优
2024-10-15 周二,13°,1°,阴~晴,西北风2级,21 优
2024-10-16 周三,17°,6°,多云,西南风1级,33 优
2024-10-17 周四,18°,8°,多云,西南风1级,56 良
2024-10-18 周五,12°,-3°,小雨~多云,北风2级,52 良
2024-10-19 周六,3°,-4°,晴,东北风3级,22 优
2024-10-20 周日,13°,4°,晴~小雨,南风1级,28 优
2024-10-21 周一,13°,5°,阴~多云,西南风2级,27 优
2024-10-22 周二,11°,1°,小雨~雨夹雪,北风2级,29 优
2024-10-23 周三,4°,-2°,阴~晴,西北风1级,22 优
2024-10-24 周四,12°,1°,多云,东南风1级,37 优
2024-10-25 周五,18°,2°,多云~晴,西南风1级,43 优
2024-10-26 周六,19°,1°,多云,东南风1级,54 良
2024-10-27 周日,5°,-3°,多云~晴,北风2级,44 优
2024-10-28 周一,15°,-2°,多云~晴,东北风1级,31 优
2024-10-29 周二,13°,5°,多云~小雨,西南风2级,48 优
2024-10-30 周三,17°,0°,阴~多云,西北风1级,39 优
2024-10-31 周四,18°,5°,多云,西南风2级,53 良
