日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,-5°,-14°,晴~多云,西北风3级,41 优
2024-03-02 周六,-2°,-10°,晴,西北风3级,35 优
2024-03-03 周日,0°,-10°,晴,西北风4级,44 优
2024-03-04 周一,2°,-9°,多云,西北风2级,48 优
2024-03-05 周二,2°,-9°,阴~晴,西北风3级,41 优
2024-03-06 周三,2°,-8°,阴~晴,西北风2级,40 优
2024-03-07 周四,2°,-8°,多云~晴,西北风3级,42 优
2024-03-08 周五,0°,-9°,晴,西北风3级,41 优
2024-03-09 周六,5°,-6°,晴,西南风2级,52 良
2024-03-10 周日,8°,-4°,阴~多云,西南风2级,112 轻度
2024-03-11 周一,7°,-5°,多云~晴,东北风3级,55 良
2024-03-12 周二,10°,-3°,多云~晴,西风3级,37 优
2024-03-13 周三,11°,0°,晴,西北风3级,45 优
2024-03-14 周四,16°,0°,阴~晴,西南风4级,49 优
2024-03-15 周五,12°,-2°,阴~多云,东北风3级,43 优
2024-03-16 周六,11°,-4°,雨夹雪~多云,西南风4级,194 中度
2024-03-17 周日,6°,-5°,晴,西北风2级,40 优
2024-03-18 周一,5°,-4°,多云~小雪,西北风3级,41 优
2024-03-19 周二,6°,-6°,多云~晴,西北风4级,44 优
2024-03-20 周三,7°,-4°,多云~晴,西北风2级,39 优
2024-03-21 周四,10°,0°,晴~小雪,东南风3级,73 良
2024-03-22 周五,2°,-2°,大雪~多云,东南风3级,63 良
2024-03-23 周六,15°,-3°,雾~多云,西风3级,61 良
2024-03-24 周日,5°,-3°,阴~多云,东北风3级,34 优
2024-03-25 周一,9°,-3°,阴~多云,东北风2级,38 优
2024-03-26 周二,13°,3°,多云,东南风2级,49 优
2024-03-27 周三,14°,2°,多云,西南风5级,101 轻度
2024-03-28 周四,8°,-2°,多云~扬沙,西风4级,233 重度
2024-03-29 周五,6°,-2°,多云~晴,西北风5级,77 良
2024-03-30 周六,5°,-4°,阴~晴,西北风5级,58 良
2024-03-31 周日,7°,-4°,晴,西北风4级,43 优
