日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,22°,13°,雾~阴,东北风1级,34 优
2024-11-02 周六,23°,14°,阴~晴,东南风2级,35 优
2024-11-03 周日,20°,16°,阴,北风2级,41 优
2024-11-04 周一,19°,13°,小雨~阴,东北风2级,40 优
2024-11-05 周二,22°,14°,雾~小雨,东风1级,28 优
2024-11-06 周三,17°,15°,小雨~阴,东北风1级,37 优
2024-11-07 周四,17°,15°,雾~阴,东南风1级,44 优
2024-11-08 周五,18°,15°,雾~阴,东南风2级,55 良
2024-11-09 周六,17°,13°,雾~阴,东南风2级,38 优
2024-11-10 周日,20°,15°,雾~小雨,东北风1级,34 优
2024-11-11 周一,18°,15°,雾~小雨,北风1级,37 优
2024-11-12 周二,17°,16°,小雨,东北风1级,39 优
2024-11-13 周三,19°,14°,雾~晴,东北风1级,41 优
2024-11-14 周四,21°,14°,雾~晴,东北风1级,33 优
2024-11-15 周五,20°,15°,雾~小雨,东北风2级,38 优
2024-11-16 周六,17°,12°,小雨,东北风3级,25 优
2024-11-17 周日,12°,10°,阴~小雨,东北风3级,19 优
2024-11-18 周一,12°,8°,小雨,东北风2级,12 优
2024-11-19 周二,10°,9°,小雨~阴,东北风2级,13 优
2024-11-20 周三,13°,10°,雾~小雨,东风1级,22 优
2024-11-21 周四,14°,8°,雾~多云,东风1级,37 优
2024-11-22 周五,16°,12°,雾~阴,东风1级,51 良
2024-11-23 周六,15°,11°,雾~小雨,东风2级,46 优
2024-11-24 周日,13°,7°,阴~小雨,东北风2级,33 优
2024-11-25 周一,14°,6°,阴,北风3级,22 优
2024-11-26 周二,8°,7°,小雨~阴,东北风2级,33 优
2024-11-27 周三,15°,5°,雾~阴,西北风1级,40 优
2024-11-28 周四,16°,6°,雾~多云,西北风1级,54 良
2024-11-29 周五,11°,5°,雾~多云,东风1级,68 良
2024-11-30 周六,16°,5°,雾~多云,东风1级,73 良
