日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,6°,1°,雾~阴,东南风2级,57 良
2024-03-02 周六,12°,4°,多云,东南风2级,65 良
2024-03-03 周日,10°,6°,阴,东风2级,56 良
2024-03-04 周一,14°,8°,雾~阴,东北风2级,48 优
2024-03-05 周二,11°,6°,阴~小雨,东北风1级,44 优
2024-03-06 周三,12°,6°,小雨~阴,东风2级,34 优
2024-03-07 周四,10°,6°,阴,东北风1级,61 良
2024-03-08 周五,12°,7°,阴~小雨,东风2级,61 良
2024-03-09 周六,11°,7°,阴~小雨,东北风2级,50 优
2024-03-10 周日,16°,6°,阴~多云,东风1级,55 良
2024-03-11 周一,21°,8°,多云~晴,东南风1级,57 良
2024-03-12 周二,22°,11°,阴,东南风3级,50 优
2024-03-13 周三,12°,9°,阴~小雨,东北风1级,40 优
2024-03-14 周四,14°,10°,雾~阵雨,东风2级,48 优
2024-03-15 周五,13°,11°,阴~小雨,东北风2级,41 优
2024-03-16 周六,19°,12°,雾~阵雨,东风1级,42 优
2024-03-17 周日,16°,11°,阴~阵雨,东风2级,31 优
2024-03-18 周一,13°,9°,阴~小雨,西北风2级,27 优
2024-03-19 周二,16°,8°,阴~多云,西南风1级,35 优
2024-03-20 周三,16°,9°,多云,东南风1级,57 良
2024-03-21 周四,23°,13°,阴~晴,南风2级,58 良
2024-03-22 周五,26°,16°,阴~多云,东南风2级,58 良
2024-03-23 周六,29°,16°,晴~多云,西南风2级,50 优
2024-03-24 周日,31°,14°,多云,南风4级,47 优
2024-03-25 周一,24°,11°,多云,西北风2级,43 优
2024-03-26 周二,14°,12°,小雨,东风3级,31 优
2024-03-27 周三,19°,13°,中雨~阴,东北风2级,34 优
2024-03-28 周四,23°,11°,多云~晴,东北风1级,40 优
2024-03-29 周五,27°,13°,阴~多云,东南风3级,41 优
2024-03-30 周六,25°,13°,阴~多云,东北风1级,47 优
2024-03-31 周日,27°,16°,阴~中雨,东风2级,63 良
