日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,18°,8°,阴~多云,东北风2级,52 良
2024-11-02 周六,21°,9°,晴,南风3级,66 良
2024-11-03 周日,21°,5°,阴~晴,北风2级,83 良
2024-11-04 周一,11°,3°,多云,东北风2级,34 优
2024-11-05 周二,15°,4°,晴,南风2级,47 优
2024-11-06 周三,16°,6°,阴~多云,南风3级,70 良
2024-11-07 周四,17°,7°,多云,南风2级,90 良
2024-11-08 周五,15°,7°,多云,南风2级,116 轻度
2024-11-09 周六,16°,9°,多云,南风3级,108 轻度
2024-11-10 周日,16°,10°,多云,东北风3级,153 中度
2024-11-11 周一,15°,10°,多云,南风1级,167 中度
2024-11-12 周二,15°,12°,多云~小雨,东北风2级,188 中度
2024-11-13 周三,11°,9°,雾~小雨,东北风2级,136 轻度
2024-11-14 周四,13°,8°,雾~多云,东北风2级,76 良
2024-11-15 周五,14°,11°,多云~阴,东北风1级,77 良
2024-11-16 周六,16°,5°,雾~晴,东北风3级,67 良
2024-11-17 周日,11°,4°,多云~晴,东北风2级,56 良
2024-11-18 周一,10°,4°,阴,东南风2级,45 优
2024-11-19 周二,13°,2°,阴~晴,南风3级,56 良
2024-11-20 周三,15°,3°,晴,南风1级,61 良
2024-11-21 周四,17°,4°,晴,东北风1级,62 良
2024-11-22 周五,13°,2°,晴,东北风1级,67 良
2024-11-23 周六,11°,2°,多云,南风2级,85 良
2024-11-24 周日,9°,5°,多云~小雨,南风3级,112 轻度
2024-11-25 周一,11°,-2°,多云,西北风3级,102 轻度
2024-11-26 周二,8°,-2°,多云,西北风3级,30 优
2024-11-27 周三,11°,0°,晴,西北风3级,51 良
2024-11-28 周四,11°,2°,多云~晴,西北风4级,37 优
2024-11-29 周五,17°,4°,晴,南风1级,40 优
2024-11-30 周六,15°,4°,阴~多云,东南风1级,65 良
