日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,33°,22°,阴,南风3级,47 优
2024-06-02 周日,35°,22°,阴~多云,西北风2级,70 良
2024-06-03 周一,34°,22°,阴~多云,北风1级,61 良
2024-06-04 周二,32°,22°,阴,东南风3级,78 良
2024-06-05 周三,28°,20°,阴,北风1级,72 良
2024-06-06 周四,31°,23°,阴,南风3级,79 良
2024-06-07 周五,32°,18°,阴~晴,西南风3级,59 良
2024-06-08 周六,33°,22°,多云~晴,南风3级,79 良
2024-06-09 周日,39°,20°,阴~多云,东北风1级,66 良
2024-06-10 周一,39°,25°,多云~晴,南风1级,63 良
2024-06-11 周二,40°,23°,小雨~晴,南风3级,69 良
2024-06-12 周三,40°,25°,阴~晴,东风2级,72 良
2024-06-13 周四,42°,29°,阴,西南风2级,73 良
2024-06-14 周五,35°,25°,小雨~阴,北风4级,69 良
2024-06-15 周六,35°,21°,多云~雷阵雨,北风2级,69 良
2024-06-16 周日,30°,22°,阴~多云,东南风3级,56 良
2024-06-17 周一,35°,24°,多云~晴,南风2级,65 良
2024-06-18 周二,36°,24°,阴~多云,南风4级,66 良
2024-06-19 周三,37°,24°,阴~多云,南风3级,76 良
2024-06-20 周四,37°,29°,多云,东南风2级,81 良
2024-06-21 周五,26°,21°,大雨~晴,东南风1级,50 优
2024-06-22 周六,35°,20°,晴,东南风2级,61 良
2024-06-23 周日,36°,23°,晴~多云,北风3级,118 轻度
2024-06-24 周一,33°,21°,多云~晴,东北风3级,69 良
2024-06-25 周二,35°,22°,阴~晴,东南风2级,67 良
2024-06-26 周三,36°,22°,多云~晴,南风3级,72 良
2024-06-27 周四,35°,23°,阴~晴,东南风3级,46 优
2024-06-28 周五,36°,26°,多云~晴,南风3级,69 良
2024-06-29 周六,36°,25°,阴~多云,东南风1级,46 优
2024-06-30 周日,37°,26°,阴~雷阵雨,东南风2级,68 良
