日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,23°,20°,阴~小雨,东北风2级,29 优
2024-06-02 周日,31°,21°,阴~小雨,东风1级,30 优
2024-06-03 周一,22°,20°,阴~小雨,北风2级,52 良
2024-06-04 周二,20°,19°,小雨,东北风2级,32 优
2024-06-05 周三,23°,18°,阴~晴,东南风1级,25 优
2024-06-06 周四,25°,19°,雾~多云,东风1级,37 优
2024-06-07 周五,28°,21°,阴~小雨,东南风1级,42 优
2024-06-08 周六,23°,22°,小雨,东北风2级,46 优
2024-06-09 周日,28°,21°,小雨,东北风1级,39 优
2024-06-10 周一,25°,23°,中雨~小雨,西风1级,23 优
2024-06-11 周二,32°,23°,雾~小雨,西南风2级,20 优
2024-06-12 周三,32°,23°,小雨,西南风2级,19 优
2024-06-13 周四,33°,24°,阴~小雨,西风2级,22 优
2024-06-14 周五,32°,24°,雾~阴,西南风1级,26 优
2024-06-15 周六,33°,24°,中雨~小雨,东北风2级,35 优
2024-06-16 周日,29°,24°,中雨~大雨,西南风1级,42 优
2024-06-17 周一,25°,23°,大雨,东北风2级,24 优
2024-06-18 周二,25°,23°,小雨,东北风2级,19 优
2024-06-19 周三,30°,24°,小雨,南风1级,18 优
2024-06-20 周四,32°,25°,雾~阴,南风2级,26 优
2024-06-21 周五,33°,26°,阴~晴,南风2级,28 优
2024-06-22 周六,32°,25°,小雨~阴,西南风1级,29 优
2024-06-23 周日,31°,26°,阴~中雨,西南风2级,34 优
2024-06-24 周一,31°,21°,中雨~大雨,东北风1级,23 优
2024-06-25 周二,21°,20°,中雨,东北风2级,27 优
2024-06-26 周三,22°,21°,中雨~小雨,东北风1级,23 优
2024-06-27 周四,24°,23°,小雨,东北风1级,28 优
2024-06-28 周五,30°,26°,雾~阴,南风2级,29 优
2024-06-29 周六,28°,24°,雾~中雨,西南风1级,28 优
2024-06-30 周日,28°,24°,中雨~大雨,西南风2级,18 优
