日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,31°,23°,阴,东南风2级,72 良
2024-06-02 周日,31°,19°,阴~多云,西南风3级,77 良
2024-06-03 周一,33°,21°,阴~多云,东南风1级,80 良
2024-06-04 周二,29°,21°,阴,西风3级,83 良
2024-06-05 周三,29°,19°,阴~多云,南风1级,64 良
2024-06-06 周四,29°,22°,阴,东南风2级,83 良
2024-06-07 周五,32°,22°,阴,西南风2级,67 良
2024-06-08 周六,31°,20°,阴~多云,西北风1级,66 良
2024-06-09 周日,36°,22°,阴~晴,西风1级,75 良
2024-06-10 周一,36°,25°,阴~多云,南风2级,79 良
2024-06-11 周二,38°,25°,多云~晴,南风2级,80 良
2024-06-12 周三,40°,27°,阴~晴,东北风1级,91 良
2024-06-13 周四,40°,28°,多云,南风3级,66 良
2024-06-14 周五,37°,25°,阴~晴,东北风2级,83 良
2024-06-15 周六,36°,26°,多云,东北风3级,76 良
2024-06-16 周日,28°,22°,中雨~小雨,西北风1级,43 优
2024-06-17 周一,33°,23°,多云~晴,西南风2级,52 良
2024-06-18 周二,34°,24°,阴~多云,南风3级,74 良
2024-06-19 周三,32°,23°,阴~晴,东南风2级,75 良
2024-06-20 周四,34°,26°,多云~小雨,南风3级,69 良
2024-06-21 周五,28°,23°,小雨~多云,西北风2级,42 优
2024-06-22 周六,35°,24°,多云~晴,西南风3级,54 良
2024-06-23 周日,39°,23°,晴~多云,西北风3级,70 良
2024-06-24 周一,33°,21°,多云~晴,东北风3级,105 轻度
2024-06-25 周二,34°,23°,晴~多云,东南风2级,107 轻度
2024-06-26 周三,34°,23°,阴~多云,东南风3级,77 良
2024-06-27 周四,34°,24°,多云,东南风2级,76 良
2024-06-28 周五,33°,23°,多云~小雨,东南风3级,56 良
2024-06-29 周六,35°,25°,阴~晴,东南风1级,50 优
2024-06-30 周日,38°,26°,阴~雷阵雨,南风2级,52 良
