日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,16°,10°,阴~晴,北风2级,66 良
2024-11-02 周六,19°,16°,阴~晴,北风2级,97 良
2024-11-03 周日,23°,16°,多云~小雨,北风2级,81 良
2024-11-04 周一,19°,16°,小雨,北风1级,81 良
2024-11-05 周二,22°,12°,多云,北风2级,85 良
2024-11-06 周三,22°,13°,阴~晴,北风2级,82 良
2024-11-07 周四,21°,11°,晴,北风2级,53 良
2024-11-08 周五,21°,12°,晴,北风1级,58 良
2024-11-09 周六,22°,14°,阴~小雨,北风2级,64 良
2024-11-10 周日,22°,14°,阴~多云,北风2级,96 良
2024-11-11 周一,23°,16°,多云,北风2级,76 良
2024-11-12 周二,25°,17°,晴,北风1级,70 良
2024-11-13 周三,27°,18°,多云,北风1级,79 良
2024-11-14 周四,27°,20°,阴~中雨,北风1级,93 良
2024-11-15 周五,20°,19°,中雨~小雨,西北风1级,62 良
2024-11-16 周六,24°,16°,雾~小雨,北风1级,72 良
2024-11-17 周日,14°,12°,小雨,北风3级,44 优
2024-11-18 周一,14°,9°,小雨,北风2级,12 优
2024-11-19 周二,11°,9°,小雨,西北风2级,13 优
2024-11-20 周三,13°,8°,小雨,北风2级,27 优
2024-11-21 周四,13°,8°,小雨~阴,北风2级,49 优
2024-11-22 周五,11°,10°,雾~多云,北风2级,61 良
2024-11-23 周六,12°,10°,小雨~晴,东北风1级,54 良
2024-11-24 周日,18°,13°,雾~小雨,北风1级,55 良
2024-11-25 周一,14°,7°,小雨,北风2级,64 良
2024-11-26 周二,12°,8°,小雨~多云,北风2级,37 优
2024-11-27 周三,15°,8°,阴~晴,北风2级,41 优
2024-11-28 周四,16°,8°,阴~晴,北风2级,46 优
2024-11-29 周五,17°,8°,晴,北风1级,48 优
2024-11-30 周六,13°,7°,阴~晴,南风1级,68 良
