日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,14°,12°,阴~小雨,东北风2级,24 优
2024-05-02 周四,13°,11°,阴~小雨,东风1级,15 优
2024-05-03 周五,16°,12°,小雨~暴雨,东风1级,9 优
2024-05-04 周六,19°,12°,阴~多云,东北风1级,15 优
2024-05-05 周日,26°,16°,雾~小雨,东北风1级,22 优
2024-05-06 周一,25°,15°,阴~大雨,东南风2级,33 优
2024-05-07 周二,21°,17°,小雨,东南风1级,21 优
2024-05-08 周三,18°,14°,小雨,东北风1级,19 优
2024-05-09 周四,22°,16°,雾~小雨,东南风1级,18 优
2024-05-10 周五,24°,18°,小雨~大雨,南风2级,18 优
2024-05-11 周六,28°,17°,阴,南风1级,23 优
2024-05-12 周日,18°,14°,阴~多云,北风2级,23 优
2024-05-13 周一,26°,14°,多云~晴,东北风2级,32 优
2024-05-14 周二,28°,16°,多云~小雨,东南风2级,30 优
2024-05-15 周三,23°,15°,阴~多云,东北风1级,35 优
2024-05-16 周四,24°,18°,小雨,东南风1级,28 优
2024-05-17 周五,21°,17°,小雨~中雨,东南风1级,29 优
2024-05-18 周六,18°,17°,中雨~小雨,东南风1级,19 优
2024-05-19 周日,25°,15°,小雨~多云,东北风2级,18 优
2024-05-20 周一,27°,17°,多云,北风2级,24 优
2024-05-21 周二,22°,16°,小雨,东北风2级,15 优
2024-05-22 周三,26°,17°,多云,东北风1级,27 优
2024-05-23 周四,30°,17°,阴~晴,东南风1级,26 优
2024-05-24 周五,31°,19°,阴~多云,南风2级,26 优
2024-05-25 周六,30°,21°,阴,南风3级,28 优
2024-05-26 周日,28°,19°,大雨~多云,南风2级,23 优
2024-05-27 周一,26°,19°,阴~多云,东北风2级,23 优
2024-05-28 周二,21°,17°,雾~小雨,东北风1级,28 优
2024-05-29 周三,21°,17°,小雨~暴雨,东南风1级,19 优
2024-05-30 周四,20°,15°,小雨~多云,北风2级,16 优
2024-05-31 周五,24°,16°,小雨~多云,东北风2级,23 优
