日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,11°,2°,多云~晴,东南风2级,123 轻度
2024-01-02 周二,8°,2°,小雨~多云,西北风2级,124 轻度
2024-01-03 周三,13°,1°,多云,西风2级,80 良
2024-01-04 周四,15°,2°,晴~多云,东南风2级,81 良
2024-01-05 周五,12°,6°,小雨~阴,北风1级,81 良
2024-01-06 周六,12°,3°,阴~多云,西北风2级,107 轻度
2024-01-07 周日,8°,1°,阴,东南风2级,154 中度
2024-01-08 周一,11°,3°,多云~晴,东南风2级,159 中度
2024-01-09 周二,13°,2°,多云~晴,西北风2级,167 中度
2024-01-10 周三,12°,3°,多云~晴,东北风1级,116 轻度
2024-01-11 周四,16°,5°,多云~晴,东南风2级,170 中度
2024-01-12 周五,18°,5°,多云~晴,东南风1级,123 轻度
2024-01-13 周六,22°,10°,雾~多云,东南风3级,93 良
2024-01-14 周日,15°,8°,多云~阴,北风2级,171 中度
2024-01-15 周一,11°,6°,多云~晴,东南风2级,211 重度
2024-01-16 周二,7°,5°,小雨,东北风1级,62 良
2024-01-17 周三,7°,5°,小雨~中雨,西北风2级,33 优
2024-01-18 周四,6°,5°,中雨~小雨,西北风2级,25 优
2024-01-19 周五,5°,2°,小雨,西北风3级,22 优
2024-01-20 周六,3°,0°,雨夹雪~晴,西北风3级,58 良
2024-01-21 周日,6°,0°,雾~小雪,北风3级,66 良
2024-01-22 周一,1°,-4°,阴~晴,北风4级,49 优
2024-01-23 周二,2°,-4°,晴,北风2级,28 优
2024-01-24 周三,3°,-1°,多云~晴,西北风1级,42 优
2024-01-25 周四,8°,2°,晴~多云,西北风2级,73 良
2024-01-26 周五,6°,1°,阴~多云,西北风1级,94 良
2024-01-27 周六,10°,0°,多云~晴,西北风2级,106 轻度
2024-01-28 周日,12°,4°,多云,东南风2级,88 良
2024-01-29 周一,12°,6°,阴,东南风2级,86 良
2024-01-30 周二,13°,9°,小雨,东南风2级,90 良
2024-01-31 周三,9°,7°,中雨~小雨,北风1级,92 良
