日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,25°,15°,阴~晴,东南风3级,47 优
2024-09-02 周一,26°,18°,多云~小雨,东北风3级,81 良
2024-09-03 周二,19°,11°,阴~小雨,西北风4级,118 轻度
2024-09-04 周三,15°,10°,阴~多云,西南风1级,27 优
2024-09-05 周四,17°,10°,阴~多云,东南风1级,32 优
2024-09-06 周五,23°,9°,多云~晴,东南风3级,35 优
2024-09-07 周六,25°,12°,晴~多云,东风3级,39 优
2024-09-08 周日,20°,11°,阴~多云,西北风3级,69 良
2024-09-09 周一,22°,11°,阴~多云,东风3级,48 优
2024-09-10 周二,22°,12°,阴~多云,东风3级,57 良
2024-09-11 周三,19°,12°,多云~小雨,东北风3级,44 优
2024-09-12 周四,17°,9°,阴~多云,西北风3级,53 良
2024-09-13 周五,20°,10°,阴,东风3级,44 优
2024-09-14 周六,19°,10°,阴~多云,东北风3级,66 良
2024-09-15 周日,20°,10°,阴~多云,东北风2级,55 良
2024-09-16 周一,21°,12°,多云~晴,东北风2级,41 优
2024-09-17 周二,24°,14°,多云,东风3级,36 优
2024-09-18 周三,24°,12°,晴~小雨,东北风2级,36 优
2024-09-19 周四,15°,9°,阴~多云,西北风2级,31 优
2024-09-20 周五,21°,8°,阴~晴,东风3级,30 优
2024-09-21 周六,22°,10°,雾~晴,东风2级,35 优
2024-09-22 周日,24°,10°,晴,东北风2级,56 良
2024-09-23 周一,28°,10°,阴~多云,北风2级,44 优
2024-09-24 周二,23°,10°,多云~晴,东北风2级,57 良
2024-09-25 周三,26°,12°,阴~晴,东北风2级,63 良
2024-09-26 周四,28°,11°,晴,东南风2级,53 良
2024-09-27 周五,24°,7°,阴~晴,东北风2级,57 良
2024-09-28 周六,12°,4°,阴~小雨,西北风4级,61 良
2024-09-29 周日,9°,0°,阴~多云,西北风3级,43 优
2024-09-30 周一,12°,0°,晴,北风2级,43 优
