日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,12°,9°,阴~小雨,东南风1级,133 轻度
2024-02-02 周五,13°,10°,阴~小雨,东北风2级,84 良
2024-02-03 周六,9°,7°,阴~小雨,东北风2级,47 优
2024-02-04 周日,9°,7°,阴,东北风1级,36 优
2024-02-05 周一,10°,8°,阴,东北风2级,46 优
2024-02-06 周二,10°,7°,阴~小雨,东北风1级,55 良
2024-02-07 周三,9°,6°,小雨~阴,东北风1级,60 良
2024-02-08 周四,8°,7°,小雨~阴,东北风1级,57 良
2024-02-09 周五,13°,5°,多云,东南风1级,70 良
2024-02-10 周六,16°,5°,多云~晴,东北风1级,115 轻度
2024-02-11 周日,18°,7°,晴~多云,东北风1级,115 轻度
2024-02-12 周一,19°,9°,阴~多云,西南风1级,108 轻度
2024-02-13 周二,21°,12°,晴~多云,西南风微风,102 轻度
2024-02-14 周三,19°,11°,阴,西风1级,121 轻度
2024-02-15 周四,12°,9°,小雨~阴,西风2级,48 优
2024-02-16 周五,18°,8°,阴~多云,东北风2级,41 优
2024-02-17 周六,21°,9°,晴,东北风2级,46 优
2024-02-18 周日,23°,12°,晴~多云,东北风1级,75 良
2024-02-19 周一,23°,14°,阴~多云,西南风1级,83 良
2024-02-20 周二,21°,13°,阴,北风2级,151 中度
2024-02-21 周三,12°,6°,阴~小雨,北风2级,70 良
2024-02-22 周四,7°,6°,小雨,东风1级,27 优
2024-02-23 周五,7°,6°,阴,东北风2级,25 优
2024-02-24 周六,7°,6°,阴~多云,北风1级,43 优
2024-02-25 周日,8°,7°,阴,东北风1级,57 良
2024-02-26 周一,10°,8°,阴,东风1级,44 优
2024-02-27 周二,12°,9°,阴,东风1级,57 良
2024-02-28 周三,12°,8°,阴,东北风1级,73 良
2024-02-29 周四,12°,9°,阴~小雨,西北风1级,80 良
