日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,38°,30°,阴~晴,西北风2级,31 优
2024-08-02 周五,40°,30°,阴~晴,西北风1级,32 优
2024-08-03 周六,41°,31°,阴~晴,西北风1级,39 优
2024-08-04 周日,41°,30°,阴~晴,西北风1级,40 优
2024-08-05 周一,41°,29°,多云~晴,北风1级,57 良
2024-08-06 周二,40°,29°,晴,东南风1级,53 良
2024-08-07 周三,40°,30°,阴~晴,西北风1级,50 优
2024-08-08 周四,40°,29°,多云~晴,西北风1级,56 良
2024-08-09 周五,39°,29°,阴~晴,西南风1级,44 优
2024-08-10 周六,40°,30°,多云~晴,西北风1级,46 优
2024-08-11 周日,41°,29°,多云~晴,西南风1级,46 优
2024-08-12 周一,39°,26°,阴~雷阵雨,西北风1级,36 优
2024-08-13 周二,37°,26°,阴~多云,北风1级,35 优
2024-08-14 周三,34°,26°,阴~雷阵雨,东风1级,31 优
2024-08-15 周四,36°,26°,雾~晴,东北风2级,42 优
2024-08-16 周五,36°,27°,阴~晴,东北风2级,47 优
2024-08-17 周六,37°,27°,阴~晴,东北风2级,48 优
2024-08-18 周日,38°,28°,阴~晴,东风2级,41 优
2024-08-19 周一,37°,27°,阴~晴,东风2级,30 优
2024-08-20 周二,38°,26°,小雨,南风1级,26 优
2024-08-21 周三,32°,27°,中雨~多云,西南风2级,24 优
2024-08-22 周四,35°,27°,阴~晴,西北风1级,39 优
2024-08-23 周五,37°,27°,阴~晴,西北风1级,50 优
2024-08-24 周六,38°,27°,多云~晴,东北风1级,70 良
2024-08-25 周日,38°,28°,晴,东北风1级,79 良
2024-08-26 周一,39°,29°,阴~晴,西北风1级,70 良
2024-08-27 周二,38°,25°,多云~中雨,西风2级,51 良
2024-08-28 周三,34°,26°,阴~多云,东北风2级,38 优
2024-08-29 周四,37°,26°,阴~晴,东北风2级,44 优
2024-08-30 周五,37°,28°,阴~晴,东北风1级,44 优
2024-08-31 周六,38°,29°,阴~晴,东北风1级,43 优
