日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,16°,0°,晴,北风2级,43 优
2024-10-02 周三,19°,2°,晴,东南风3级,38 优
2024-10-03 周四,20°,5°,阴~晴,西北风3级,44 优
2024-10-04 周五,22°,7°,晴~多云,东南风1级,57 良
2024-10-05 周六,16°,7°,阴~多云,西北风3级,48 优
2024-10-06 周日,17°,5°,阴~晴,东风2级,45 优
2024-10-07 周一,19°,7°,晴~多云,东南风2级,51 良
2024-10-08 周二,21°,6°,阴~多云,西北风3级,56 良
2024-10-09 周三,19°,4°,多云~晴,西北风2级,57 良
2024-10-10 周四,20°,5°,晴,东南风1级,61 良
2024-10-11 周五,21°,9°,阴~多云,东南风3级,61 良
2024-10-12 周六,22°,5°,阴~晴,西北风2级,48 优
2024-10-13 周日,25°,6°,晴,北风1级,57 良
2024-10-14 周一,22°,5°,晴,东南风2级,69 良
2024-10-15 周二,18°,6°,阴~多云,东风2级,74 良
2024-10-16 周三,21°,4°,阴~晴,东风1级,81 良
2024-10-17 周四,19°,6°,晴,东南风3级,73 良
2024-10-18 周五,13°,5°,阴~晴,东南风4级,58 良
2024-10-19 周六,9°,4°,阴~阵雨,西北风3级,118 轻度
2024-10-20 周日,15°,3°,晴~多云,东风3级,71 良
2024-10-21 周一,5°,-4°,阴~晴,西北风3级,62 良
2024-10-22 周二,18°,3°,多云~晴,东南风1级,57 良
2024-10-23 周三,20°,1°,阴~晴,东南风2级,51 良
2024-10-24 周四,18°,4°,多云,西北风3级,50 优
2024-10-25 周五,13°,2°,阴~多云,西北风3级,52 良
2024-10-26 周六,15°,-1°,阴~多云,东风2级,50 优
2024-10-27 周日,17°,2°,晴,东风1级,51 良
2024-10-28 周一,18°,2°,晴~多云,东南风1级,47 优
2024-10-29 周二,15°,2°,阴~多云,北风2级,43 优
2024-10-30 周三,16°,3°,阴~晴,北风2级,53 良
2024-10-31 周四,18°,3°,晴~阵雨,东北风1级,55 良
