日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,26°,16°,多云~小雨,东南风3级,75 良
2024-01-02 周二,22°,15°,小雨,东南风3级,65 良
2024-01-03 周三,18°,14°,阴,北风4级,30 优
2024-01-04 周四,23°,14°,多云~阴,南风2级,51 良
2024-01-05 周五,24°,16°,小雨~多云,东南风3级,69 良
2024-01-06 周六,25°,13°,多云~中雨,东南风2级,82 良
2024-01-07 周日,14°,12°,阴,东南风3级,92 良
2024-01-08 周一,21°,18°,阴,南风3级,58 良
2024-01-09 周二,22°,14°,雾~小雨,东风2级,56 良
2024-01-10 周三,16°,14°,小雨,北风3级,31 优
2024-01-11 周四,17°,15°,小雨,东北风2级,40 优
2024-01-12 周五,17°,16°,小雨,东北风2级,37 优
2024-01-13 周六,21°,16°,小雨,东南风2级,46 优
2024-01-14 周日,22°,16°,雾~多云,东风1级,58 良
2024-01-15 周一,25°,16°,雾~多云,东南风2级,66 良
2024-01-16 周二,24°,18°,雾~多云,东南风3级,66 良
2024-01-17 周三,24°,18°,雾~阴,东南风3级,56 良
2024-01-18 周四,25°,19°,阴~多云,东南风3级,49 优
2024-01-19 周五,24°,17°,小雨,南风3级,51 良
2024-01-20 周六,19°,10°,雾~阴,东北风3级,44 优
2024-01-21 周日,11°,7°,阴~小雨,东北风3级,54 良
2024-01-22 周一,7°,4°,雨夹雪~小雨,北风5级,17 优
2024-01-23 周二,6°,5°,阴,北风4级,33 优
2024-01-24 周三,7°,5°,阴,北风4级,46 优
2024-01-25 周四,9°,7°,晴~阴,北风3级,50 优
2024-01-26 周五,8°,7°,阴~小雨,北风3级,61 良
2024-01-27 周六,9°,6°,小雨,北风3级,45 优
2024-01-28 周日,9°,8°,阴~小雨,北风3级,39 优
2024-01-29 周一,10°,8°,小雨,北风2级,21 优
2024-01-30 周二,14°,13°,小雨,北风2级,29 优
2024-01-31 周三,20°,15°,小雨~阴,南风2级,61 良
