日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,26°,13°,晴,西南风3级,58 良
2024-05-02 周四,29°,16°,晴,西南风5级,66 良
2024-05-03 周五,28°,16°,阴~晴,西南风5级,63 良
2024-05-04 周六,26°,13°,阴~多云,西南风5级,61 良
2024-05-05 周日,19°,13°,阴~阵雨,东南风2级,40 优
2024-05-06 周一,20°,10°,阴~多云,东北风4级,49 优
2024-05-07 周二,23°,10°,阴~晴,东北风4级,46 优
2024-05-08 周三,25°,13°,阴~晴,西南风2级,52 良
2024-05-09 周四,27°,17°,阴~多云,东北风3级,63 良
2024-05-10 周五,23°,11°,阴~中雨,西南风6级,84 良
2024-05-11 周六,20°,9°,阴~晴,西南风5级,90 良
2024-05-12 周日,22°,10°,多云~晴,西北风3级,40 优
2024-05-13 周一,28°,18°,多云,西南风4级,58 良
2024-05-14 周二,25°,9°,阴~多云,西北风3级,62 良
2024-05-15 周三,21°,6°,晴,北风4级,33 优
2024-05-16 周四,24°,8°,多云~晴,东北风2级,30 优
2024-05-17 周五,29°,18°,晴~多云,西南风4级,55 良
2024-05-18 周六,26°,15°,阴~小雨,西南风2级,57 良
2024-05-19 周日,13°,7°,中雨~多云,东北风3级,27 优
2024-05-20 周一,21°,12°,晴,东北风2级,24 优
2024-05-21 周二,28°,18°,多云~晴,西南风4级,41 优
2024-05-22 周三,25°,16°,阴~雷阵雨,西南风5级,44 优
2024-05-23 周四,15°,9°,中雨~多云,东北风3级,26 优
2024-05-24 周五,23°,11°,阴~多云,东北风3级,31 优
2024-05-25 周六,23°,13°,小雨~中雨,东风1级,39 优
2024-05-26 周日,17°,12°,中雨~阵雨,西风3级,23 优
2024-05-27 周一,21°,10°,阴~晴,北风4级,29 优
2024-05-28 周二,27°,16°,晴~多云,西南风2级,34 优
2024-05-29 周三,28°,16°,阴~多云,西南风3级,67 良
2024-05-30 周四,26°,13°,阴~雷阵雨,西南风5级,51 良
2024-05-31 周五,21°,10°,阴~多云,北风3级,22 优
