日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,29°,23°,中雨~雷阵雨,南风1级,16 优
2024-08-02 周五,32°,25°,多云~阴,南风2级,24 优
2024-08-03 周六,32°,25°,阴~晴,南风2级,21 优
2024-08-04 周日,35°,26°,阴~多云,西南风2级,21 优
2024-08-05 周一,36°,26°,多云,西南风2级,23 优
2024-08-06 周二,37°,26°,多云,西南风2级,25 优
2024-08-07 周三,37°,26°,多云,西南风2级,26 优
2024-08-08 周四,36°,26°,阴~多云,西南风2级,29 优
2024-08-09 周五,36°,27°,阴,南风2级,25 优
2024-08-10 周六,36°,26°,大雨,南风1级,30 优
2024-08-11 周日,28°,25°,大雨~阴,西北风1级,33 优
2024-08-12 周一,35°,24°,阴~多云,东风1级,50 优
2024-08-13 周二,35°,24°,阴~多云,东北风2级,44 优
2024-08-14 周三,34°,24°,阴~雷阵雨,东北风2级,41 优
2024-08-15 周四,31°,24°,大雨~阴,东北风2级,39 优
2024-08-16 周五,29°,23°,大雨~阵雨,东北风2级,38 优
2024-08-17 周六,26°,23°,中雨~雷阵雨,东北风2级,30 优
2024-08-18 周日,34°,24°,多云,东北风1级,28 优
2024-08-19 周一,34°,24°,阴~多云,北风1级,29 优
2024-08-20 周二,35°,25°,阴~晴,东北风1级,30 优
2024-08-21 周三,36°,24°,多云~晴,西南风1级,31 优
2024-08-22 周四,36°,25°,多云~晴,南风2级,27 优
2024-08-23 周五,37°,26°,阴~晴,南风2级,22 优
2024-08-24 周六,35°,26°,阴~晴,东南风1级,17 优
2024-08-25 周日,36°,25°,阴~晴,南风1级,18 优
2024-08-26 周一,38°,26°,多云~晴,西南风1级,21 优
2024-08-27 周二,37°,26°,阴~雷阵雨,东风1级,25 优
2024-08-28 周三,30°,26°,阴~多云,东北风2级,26 优
2024-08-29 周四,32°,25°,阴~多云,东北风2级,29 优
2024-08-30 周五,34°,25°,阴~多云,东北风1级,29 优
2024-08-31 周六,35°,26°,多云,东南风1级,28 优
