日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,32°,20°,晴~多云,东南风2级,54 良
2024-08-02 周五,31°,22°,阴~多云,东南风2级,40 优
2024-08-03 周六,29°,22°,雾~小雨,西南风1级,38 优
2024-08-04 周日,29°,20°,阴~多云,东南风2级,37 优
2024-08-05 周一,30°,20°,雾~晴,东南风2级,42 优
2024-08-06 周二,30°,21°,阴,东风3级,42 优
2024-08-07 周三,28°,21°,小雨~阴,东风2级,35 优
2024-08-08 周四,29°,21°,雾~中雨,东风3级,30 优
2024-08-09 周五,27°,20°,小雨~晴,西北风2级,55 良
2024-08-10 周六,30°,19°,多云~晴,西北风3级,126 轻度
2024-08-11 周日,30°,15°,晴,西北风2级,48 优
2024-08-12 周一,30°,19°,晴,东北风1级,40 优
2024-08-13 周二,30°,19°,阴~晴,东南风2级,41 优
2024-08-14 周三,29°,20°,阴,东风3级,43 优
2024-08-15 周四,25°,19°,阴~中雨,西北风2级,41 优
2024-08-16 周五,26°,19°,阴~中雨,东南风1级,40 优
2024-08-17 周六,28°,17°,小雨,东南风1级,53 良
2024-08-18 周日,29°,17°,雾~晴,南风2级,45 优
2024-08-19 周一,29°,16°,阴~晴,东南风1级,41 优
2024-08-20 周二,27°,16°,中雨~小雨,东南风2级,40 优
2024-08-21 周三,27°,18°,阴~晴,东南风2级,37 优
2024-08-22 周四,30°,21°,多云~晴,东风2级,40 优
2024-08-23 周五,30°,21°,阴~晴,东风2级,45 优
2024-08-24 周六,32°,21°,阴~多云,东风3级,48 优
2024-08-25 周日,31°,20°,阴~小雨,东风2级,48 优
2024-08-26 周一,28°,18°,阴~多云,西北风3级,27 优
2024-08-27 周二,26°,16°,阴~晴,东南风2级,35 优
2024-08-28 周三,28°,18°,多云,东风3级,38 优
2024-08-29 周四,28°,19°,阴~晴,东风2级,38 优
2024-08-30 周五,29°,19°,阴~多云,东风3级,38 优
2024-08-31 周六,31°,22°,多云~阴,东南风2级,40 优
