日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,6°,-1°,阴~多云,东北风3级,63 良
2024-03-02 周六,10°,2°,多云,西南风2级,58 良
2024-03-03 周日,15°,6°,晴~阴,东南风2级,55 良
2024-03-04 周一,10°,9°,小雨,东北风1级,57 良
2024-03-05 周二,8°,6°,小雨,西北风3级,52 良
2024-03-06 周三,9°,2°,多云~晴,北风2级,79 良
2024-03-07 周四,14°,2°,雾~晴,西北风2级,91 良
2024-03-08 周五,14°,3°,雾~多云,东北风2级,83 良
2024-03-09 周六,15°,4°,多云~晴,东北风2级,68 良
2024-03-10 周日,18°,10°,多云~阴,东北风2级,85 良
2024-03-11 周一,20°,8°,多云~晴,西风2级,87 良
2024-03-12 周二,18°,7°,多云,东北风2级,87 良
2024-03-13 周三,19°,10°,阴~多云,东风1级,91 良
2024-03-14 周四,16°,8°,阴~晴,东北风2级,90 良
2024-03-15 周五,21°,11°,多云,东北风2级,92 良
2024-03-16 周六,22°,14°,多云~小雨,西南风2级,115 轻度
2024-03-17 周日,15°,8°,小雨,东北风4级,88 良
2024-03-18 周一,10°,4°,小雨~多云,东北风3级,68 良
2024-03-19 周二,18°,5°,晴,西北风2级,86 良
2024-03-20 周三,21°,6°,多云,南风1级,85 良
2024-03-21 周四,22°,14°,阴~晴,西南风2级,67 良
2024-03-22 周五,26°,18°,多云~小雨,西南风3级,65 良
2024-03-23 周六,27°,17°,阴~小雨,南风2级,63 良
2024-03-24 周日,17°,14°,雾~中雨,东北风2级,82 良
2024-03-25 周一,13°,8°,中雨~多云,西北风4级,46 优
2024-03-26 周二,16°,9°,多云~阴,东北风1级,54 良
2024-03-27 周三,14°,13°,小雨~中雨,东北风1级,67 良
2024-03-28 周四,19°,15°,多云~晴,西风2级,54 良
2024-03-29 周五,28°,16°,晴~阴,西南风4级,62 良
2024-03-30 周六,31°,15°,阴,西南风2级,56 良
2024-03-31 周日,23°,15°,阴~多云,西北风2级,93 良
