日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,27°,14°,阴~雷阵雨,东南风2级,58 良
2024-06-02 周日,23°,13°,阴~多云,东北风2级,53 良
2024-06-03 周一,26°,15°,多云~雷阵雨,东南风2级,44 优
2024-06-04 周二,20°,14°,小雨~晴,东北风1级,54 良
2024-06-05 周三,27°,16°,雾~晴,东风1级,59 良
2024-06-06 周四,21°,12°,大雨~多云,西南风1级,61 良
2024-06-07 周五,28°,15°,雾~多云,东南风2级,54 良
2024-06-08 周六,30°,15°,阴~晴,西南风2级,56 良
2024-06-09 周日,30°,16°,阴~晴,南风3级,47 优
2024-06-10 周一,32°,15°,阴~多云,东南风2级,47 优
2024-06-11 周二,35°,17°,多云~晴,西风2级,57 良
2024-06-12 周三,36°,18°,多云,西风2级,60 良
2024-06-13 周四,31°,17°,阴~多云,西北风2级,82 良
2024-06-14 周五,29°,16°,阴~晴,东北风3级,49 优
2024-06-15 周六,29°,18°,多云,东北风3级,44 优
2024-06-16 周日,30°,16°,多云,东北风3级,51 良
2024-06-17 周一,33°,19°,阴~多云,东北风1级,65 良
2024-06-18 周二,31°,19°,阴~多云,西风2级,60 良
2024-06-19 周三,30°,23°,多云,东北风2级,54 良
2024-06-20 周四,25°,15°,小雨,东北风2级,52 良
2024-06-21 周五,29°,13°,多云~晴,西北风2级,44 优
2024-06-22 周六,29°,12°,晴,东北风2级,133 轻度
2024-06-23 周日,26°,14°,浮尘~晴,东北风3级,99 良
2024-06-24 周一,26°,14°,多云~晴,东北风2级,385 严重
2024-06-25 周二,30°,17°,阴~晴,东北风3级,115 轻度
2024-06-26 周三,33°,18°,多云,西南风1级,65 良
2024-06-27 周四,33°,20°,阴~多云,东南风2级,62 良
2024-06-28 周五,32°,18°,多云,西北风2级,83 良
2024-06-29 周六,29°,18°,阴~多云,东北风3级,59 良
2024-06-30 周日,28°,16°,阴~多云,西北风1级,53 良
